PUBLICATION,EXTRACT_DATE,PRACTICE_CODE,PRACTICE_NAME,LSOA_CODE,SEX,NUMBER_OF_PATIENTS
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01026318,MALE,4
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01026319,MALE,59
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01026321,MALE,13
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01026322,MALE,2
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01026323,MALE,4
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01026324,MALE,13
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01026325,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01026326,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01026327,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01026328,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01026331,MALE,31
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01026333,MALE,4
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01026340,MALE,27
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01026343,MALE,5
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01026344,MALE,3
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01026345,MALE,3
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01026352,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01026353,MALE,4
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01026354,MALE,2
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01026355,MALE,19
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01026365,MALE,132
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01026394,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01028170,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01028285,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01028325,MALE,22
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01028357,MALE,5
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01028358,MALE,2
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01028359,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01028360,MALE,3
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01028371,MALE,57
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01028380,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01028403,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01028410,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01028411,MALE,123
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01028420,MALE,10
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01029616,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01033394,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01034695,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01034701,MALE,5
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01034702,MALE,18
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01035501,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,EMPTY,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,CLOSED,MALE,31
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01000044,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01000219,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01000237,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01000259,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01000523,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01001239,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01001911,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01002997,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01003194,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01003645,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01003753,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01003783,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01003812,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01004172,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01004386,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01004955,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01005300,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01005317,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01005320,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01006058,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01006544,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01006688,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01006693,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01007125,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01007361,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01007419,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01007469,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01007593,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01007848,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01007989,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01008087,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01008130,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01008178,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01009549,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01009567,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01009640,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01009735,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01009960,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01010237,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01010330,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01010402,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01010859,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01010880,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01011102,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01011569,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01012312,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01012767,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01012795,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01012825,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01013005,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01013017,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01013018,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01013149,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01013158,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01013203,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01013248,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01013307,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01013322,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01013509,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01013524,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01013623,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01013718,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01013727,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01013967,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01013983,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01014481,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01015599,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01015650,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01015806,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01016365,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01016379,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01016403,MALE,2
GP_PRAC_PAT_LIST,01/07/2026,C83001,HEART OF LINCOLN HEALTH GROUP,E01016605,MALE,1
