LSOA_Code,LSOA_Name,District,DERI_Score,Digital_Access,Demography_Score,Deprivation_Score,Broadband_Score,Avg_Download_Speed_Mbps,No_Superfast_Broadband_Pct,Slow_Connections_Pct,Aged_65_Plus_Pct,Day_To_Day_Limited_Pct,No_Qualifications_Pct,Pension_Credit_Rate,Unemployment_Rate,Social_Grade_DE_Pct,IMD_2019_Score
E01026007,Boston 001A,Boston,2.4802397963130995,0.75197602036869,3.0837990905015005,1.2777605937765932,3.079159704661205,56.81302326,0.0,0.0,28.9156627,20.137693600000002,33.2233223,9.0,1.2908777999999999,6.9707401,11.016
E01026008,Boston 001B,Boston,2.731847273617125,0.7268152726382875,3.4572520219021388,1.6603226853416444,3.0779671136075923,57.07959184,0.0,0.0,29.008649399999996,25.748503,32.1958457,15.0,1.1976048,5.655356,27.683
E01026009,Boston 001C,Boston,2.8728874395412163,0.7127112560458784,3.29841521187568,1.8779679997681107,3.442279106979857,34.5087886,790.0,0.0,29.0076336,23.3248516,39.4600208,15.0,1.5267176,8.736217100000001,27.633
E01026010,Boston 002A,Boston,2.82161565884266,0.717838434115734,2.0652284021059013,3.2761966660946484,3.1234219083274293,46.9195122,0.0,0.0,11.5869018,21.347607099999998,58.428571399999996,49.0,4.6599496,21.977330000000002,49.432
E01026012,Boston 004A,Boston,3.277481502769565,0.6722518497230435,3.829097451746384,2.572597927079891,3.4307491294824204,31.12542787,710.0,0.0,30.912311799999998,29.5837024,55.442670500000006,30.0,2.3914969,12.0460585,31.213
E01026013,Boston 008A,Boston,2.5853222111835468,0.7414677788816453,3.1757410801135197,1.463171742229767,3.1170538112073536,48.34291262,0.0,0.0,29.483695700000002,20.9918478,37.1601208,16.0,1.0190217,6.182065199999999,11.735
E01026014,Boston 008B,Boston,2.879422656592883,0.7120577343407117,2.773689998291721,1.3874023960098132,4.477175575477116,36.61115942,3910.0,13.4615385,23.859465099999998,20.293655,30.525101,24.0,1.363398,7.760881,13.48
E01026015,Boston 004B,Boston,2.0702252133996937,0.7929774786600307,1.6027446262194254,1.47471131967365,3.133219694306005,50.69005329,80.0,0.0,13.482466700000002,12.4546554,39.357429700000004,10.0,1.5719468,11.426844,11.162
E01026016,Boston 006A,Boston,2.6999268064751623,0.7300073193524838,3.199276408649231,1.7390424139615739,3.1614615968146818,46.61261364,110.00000000000001,0.0,28.456998300000002,22.344013500000003,34.634146300000005,22.0,1.3490725000000001,7.925801000000001,25.023
E01026017,Boston 007A,Boston,3.598708842266202,0.6401291157733798,3.3164187902059927,2.182451998132279,5.297255738460334,47.16291161,6500.0,25.8333333,26.6118837,25.9165613,39.0652557,38.0,1.5170670000000002,9.1656131,32.823
E01026018,Boston 007B,Boston,2.733958463640329,0.7266041536359671,3.7268730432438533,1.3892937054125925,3.085708642264542,55.34920128,0.0,0.0,36.9591346,22.1754808,32.1452145,9.0,1.0216345999999998,6.4903846000000005,17.89
E01026019,Boston 007C,Boston,2.539339411693767,0.7460660588306233,2.343310865745828,2.1825481105496047,3.0921592587858684,53.90735608,0.0,0.0,17.6286509,19.7496523,42.8366762,47.0,2.5034771,11.1265647,23.046
E01026020,Boston 007D,Boston,2.3549427281119075,0.7645057271888093,2.3274654521620013,1.4863365954745842,3.2510261366991373,61.04824825,570.0,2.5477707,22.1264368,15.158046,34.4573881,17.0,1.3649425,8.225574700000001,15.632
E01026021,Boston 003B,Boston,2.3207400570411143,0.7679259942958886,2.8117449486239874,0.9272565869471217,3.2232186355522345,41.74946889,229.99999999999997,0.0,24.8638838,19.9032063,14.078334700000001,19.0,1.9963701999999999,10.526315799999999,15.622
E01026022,Boston 008C,Boston,2.340115266273363,0.7659884733726637,2.832092727177278,1.0357299537450504,3.15252311789776,40.41479452,0.0,0.0,28.692699500000003,16.5110357,28.8967972,6.0,0.721562,4.4142615,7.491
E01026023,Boston 001D,Boston,3.3309573592740875,0.6669042640725913,3.5601577697139133,2.0159912312256694,4.41672307688268,40.89184891,3779.9999999999995,19.819819799999998,32.8983516,23.5576923,40.4556167,25.0,1.717033,8.0357143,28.383
E01026024,Boston 001E,Boston,2.8240550845453654,0.7175944915454635,2.899453607214386,1.8889385367666478,3.6837731096550606,43.86073781,1639.9999999999998,0.0,24.919392000000002,21.1883924,33.2608696,32.0,1.7964072000000002,6.7250115,29.216
E01026025,Boston 003C,Boston,2.0169730054365096,0.798302699456349,1.3506189417787708,1.5967360163653619,3.103564058165395,51.35814932,0.0,0.0,9.2851593,12.6651127,19.1312836,45.0,4.856254900000001,17.0551671,26.027
E01026026,Boston 004C,Boston,2.802774880459973,0.7197225119540027,2.354168593436876,2.8771790343899446,3.1769770135530977,40.16432584,70.0,0.0,16.2906137,21.2093863,50.91965149999999,63.0,2.8880866000000003,14.3953069,37.301
E01026027,Boston 004D,Boston,2.409202470281077,0.7590797529718923,2.2098060773470047,1.8882234938429712,3.129577839653255,45.54353519,0.0,0.0,19.1455696,16.2447257,41.6010499,30.0,2.742616,13.2383966,17.802
E01026028,Boston 004E,Boston,2.756003417681043,0.7243996582318957,2.644876769198965,2.491204711063522,3.131928772780642,45.01805338,0.0,0.0,21.7802089,20.338140199999998,52.76796230000001,44.0,2.6355047,12.4813526,25.065
E01026030,Boston 002C,Boston,2.735697134212428,0.7264302865787572,2.447263674842996,2.6393761279253294,3.1204515998689577,47.58343711,0.0,0.0,18.4823441,20.510894099999998,38.238842,83.0,3.8317055000000004,15.1014275,34.131
E01026031,Boston 009B,Boston,3.019125807050107,0.6980874192949893,4.027770770926265,1.904356350085322,3.1252503001387324,46.5108291,0.0,0.0,36.4251862,27.2850372,47.8409091,19.0,2.0311442,9.5463778,15.462
E01026032,Boston 002D,Boston,2.1534527928937277,0.7846547207106273,1.5291897929271274,1.8136197213101302,3.1175488644439255,48.23225806,0.0,0.0,11.6039604,13.1485149,38.0846325,19.0,4.1584158,12.910891099999999,22.039
