LSOA_Code,LSOA_Name,Local_Authority_District,Resident_Population_ONS_2024,GP_Registered_Patients,Number_Difference,Percentage_Difference_Pct,GP_Registration_Coverage_Pct
E01026346,South Kesteven 015D,South Kesteven,1164,1078,-86,-7.39,92.61
E01026144,Lincoln 003B,Lincoln,2159,2072,-87,-4.03,95.97
E01026249,South Holland 010B,South Holland,2332,2241,-91,-3.9,96.1
E01026218,North Kesteven 014C,North Kesteven,1171,1076,-95,-8.11,91.89
E01026309,South Kesteven 005B,South Kesteven,1654,1556,-98,-5.93,94.07
E01026151,Lincoln 003E,Lincoln,2147,2049,-98,-4.56,95.44
E01026224,North Kesteven 007D,North Kesteven,1842,1742,-100,-5.43,94.57
E01026409,West Lindsey 007C,West Lindsey,1339,1238,-101,-7.54,92.46
E01034687,Lincoln 005E,Lincoln,1141,1038,-103,-9.03,90.97
E01026195,North Kesteven 006C,North Kesteven,1910,1807,-103,-5.39,94.61
E01026171,Lincoln 011H,Lincoln,1522,1417,-105,-6.9,93.1
E01026208,North Kesteven 012E,North Kesteven,1628,1522,-106,-6.51,93.49
E01026240,South Holland 011B,South Holland,3492,3385,-107,-3.06,96.94
E01026090,East Lindsey 003E,East Lindsey,1381,1274,-107,-7.75,92.25
E01026227,North Kesteven 010A,North Kesteven,1610,1493,-117,-7.27,92.73
E01026307,South Kesteven 014E,South Kesteven,1307,1188,-119,-9.1,90.9
E01026337,South Kesteven 013D,South Kesteven,2284,2161,-123,-5.39,94.61
E01026305,South Kesteven 014C,South Kesteven,1634,1509,-125,-7.65,92.35
E01026370,West Lindsey 011C,West Lindsey,2657,2532,-125,-4.7,95.3
E01026289,South Kesteven 015C,South Kesteven,2309,2183,-126,-5.46,94.54
E01026187,North Kesteven 001B,North Kesteven,1909,1782,-127,-6.65,93.35
E01026008,Boston 001B,Boston,1461,1331,-130,-8.9,91.1
E01026349,South Kesteven 016A,South Kesteven,1485,1346,-139,-9.36,90.64
E01032997,South Kesteven 011E,South Kesteven,1449,1309,-140,-9.66,90.34
E01026146,Lincoln 005D,Lincoln,1878,1737,-141,-7.51,92.49
E01026200,North Kesteven 012A,North Kesteven,1833,1689,-144,-7.86,92.14
E01026278,South Holland 008E,South Holland,1459,1314,-145,-9.94,90.06
E01026306,South Kesteven 014D,South Kesteven,1963,1818,-145,-7.39,92.61
E01026080,East Lindsey 001E,East Lindsey,2024,1870,-154,-7.61,92.39
E01026067,East Lindsey 011D,East Lindsey,1894,1736,-158,-8.34,91.66
E01026051,East Lindsey 016A,East Lindsey,1515,1356,-159,-10.5,89.5
E01026164,Lincoln 003F,Lincoln,1599,1440,-159,-9.94,90.06
E01026357,South Kesteven 016E,South Kesteven,1347,1177,-170,-12.62,87.38
E01026254,South Holland 008A,South Holland,1818,1646,-172,-9.46,90.54
E01026145,Lincoln 005C,Lincoln,1594,1418,-176,-11.04,88.96
E01034691,Lincoln 008E,Lincoln,2606,2415,-191,-7.33,92.67
E01026167,Lincoln 003G,Lincoln,1896,1703,-193,-10.18,89.82
E01034695,North Kesteven 011F,North Kesteven,2015,1814,-201,-9.98,90.02
E01026368,West Lindsey 001B,West Lindsey,2082,1879,-203,-9.75,90.25
E01026385,West Lindsey 005A,West Lindsey,1088,882,-206,-18.93,81.07
E01026358,South Kesteven 016F,South Kesteven,1382,1156,-226,-16.35,83.65
E01026107,East Lindsey 001G,East Lindsey,1362,1130,-232,-17.03,82.97
E01026411,West Lindsey 005D,West Lindsey,2435,2179,-256,-10.51,89.49
E01026356,South Kesteven 016D,South Kesteven,1432,1165,-267,-18.65,81.35
E01026053,East Lindsey 016C,East Lindsey,2032,1715,-317,-15.6,84.4
E01026367,West Lindsey 001A,West Lindsey,1674,1349,-325,-19.41,80.59
E01026179,North Kesteven 008A,North Kesteven,1254,928,-326,-26.0,74.0
E01026339,South Kesteven 009D,South Kesteven,1278,942,-336,-26.29,73.71
E01026359,South Kesteven 016G,South Kesteven,2612,2268,-344,-13.17,86.83
E01026062,East Lindsey 001C,East Lindsey,1122,773,-349,-31.11,68.89
E01026333,South Kesteven 001D,South Kesteven,2556,2194,-362,-14.16,85.84
E01034688,Lincoln 005F,Lincoln,1786,1405,-381,-21.33,78.67
E01026061,East Lindsey 001B,East Lindsey,1167,777,-390,-33.42,66.58
E01026106,East Lindsey 001F,East Lindsey,1418,1003,-415,-29.27,70.73
E01026132,Lincoln 005A,Lincoln,4192,3705,-487,-11.62,88.38
E01026063,East Lindsey 001D,East Lindsey,1549,1033,-516,-33.31,66.69
E01026386,West Lindsey 005B,West Lindsey,1204,622,-582,-48.34,51.66
E01026315,South Kesteven 009A,South Kesteven,2207,1496,-711,-32.22,67.78
E01026052,East Lindsey 016B,East Lindsey,2702,1977,-725,-26.83,73.17
E01026184,North Kesteven 004A,North Kesteven,2361,1454,-907,-38.42,61.58
E01026407,West Lindsey 002E,West Lindsey,1370,369,-1001,-73.07,26.93
E01026193,North Kesteven 003C,North Kesteven,1873,870,-1003,-53.55,46.45
E01026199,North Kesteven 003D,North Kesteven,2715,1638,-1077,-39.67,60.33
E01026280,South Holland 010C,South Holland,2826,1675,-1151,-40.73,59.27
E01026403,West Lindsey 002D,West Lindsey,1382,230,-1152,-83.36,16.64
E01026198,North Kesteven 008C,North Kesteven,1822,559,-1263,-69.32,30.68
E01026401,West Lindsey 002B,West Lindsey,1609,10,-1599,-99.38,0.62
E01026387,West Lindsey 001C,West Lindsey,2721,1103,-1618,-59.46,40.54
E01026402,West Lindsey 002C,West Lindsey,1841,18,-1823,-99.02,0.98
E01032683,West Lindsey 001G,West Lindsey,2282,45,-2237,-98.03,1.97
