Lower layer Super Output Areas Code,Lower layer Super Output Areas,Car or van availability (5 categories) Code,Car or van availability (5 categories),Observation
E01026260,South Holland 005D,0,No cars or vans in household,130
E01026260,South Holland 005D,1,1 car or van in household,398
E01026260,South Holland 005D,2,2 cars or vans in household,234
E01026260,South Holland 005D,3,3 or more cars or vans in household,101
E01026262,South Holland 009A,-8,Does not apply,0
E01026262,South Holland 009A,0,No cars or vans in household,55
E01026262,South Holland 009A,1,1 car or van in household,264
E01026262,South Holland 009A,2,2 cars or vans in household,244
E01026262,South Holland 009A,3,3 or more cars or vans in household,81
E01026263,South Holland 009B,-8,Does not apply,0
E01026263,South Holland 009B,0,No cars or vans in household,100
E01026263,South Holland 009B,1,1 car or van in household,432
E01026263,South Holland 009B,2,2 cars or vans in household,343
E01026263,South Holland 009B,3,3 or more cars or vans in household,99
E01026264,South Holland 009C,-8,Does not apply,0
E01026264,South Holland 009C,0,No cars or vans in household,124
E01026264,South Holland 009C,1,1 car or van in household,296
E01026264,South Holland 009C,2,2 cars or vans in household,179
E01026264,South Holland 009C,3,3 or more cars or vans in household,58
E01026265,South Holland 009D,-8,Does not apply,0
E01026265,South Holland 009D,0,No cars or vans in household,54
E01026265,South Holland 009D,1,1 car or van in household,230
E01026265,South Holland 009D,2,2 cars or vans in household,166
E01026265,South Holland 009D,3,3 or more cars or vans in household,88
E01026266,South Holland 006B,-8,Does not apply,0
E01026266,South Holland 006B,0,No cars or vans in household,340
E01026266,South Holland 006B,1,1 car or van in household,460
E01026266,South Holland 006B,2,2 cars or vans in household,212
E01026266,South Holland 006B,3,3 or more cars or vans in household,53
E01026268,South Holland 007A,-8,Does not apply,0
E01026268,South Holland 007A,0,No cars or vans in household,239
E01026268,South Holland 007A,1,1 car or van in household,378
E01026268,South Holland 007A,2,2 cars or vans in household,186
E01026268,South Holland 007A,3,3 or more cars or vans in household,72
E01026269,South Holland 007B,-8,Does not apply,0
E01026269,South Holland 007B,0,No cars or vans in household,116
E01026269,South Holland 007B,1,1 car or van in household,401
E01026269,South Holland 007B,2,2 cars or vans in household,303
E01026269,South Holland 007B,3,3 or more cars or vans in household,122
E01026270,South Holland 007C,-8,Does not apply,0
E01026270,South Holland 007C,0,No cars or vans in household,171
E01026270,South Holland 007C,1,1 car or van in household,314
E01026270,South Holland 007C,2,2 cars or vans in household,164
E01026270,South Holland 007C,3,3 or more cars or vans in household,79
E01026271,South Holland 007D,-8,Does not apply,0
E01026271,South Holland 007D,0,No cars or vans in household,237
E01026271,South Holland 007D,1,1 car or van in household,316
E01026271,South Holland 007D,2,2 cars or vans in household,152
E01026271,South Holland 007D,3,3 or more cars or vans in household,52
E01026272,South Holland 007E,-8,Does not apply,0
E01026272,South Holland 007E,0,No cars or vans in household,120
E01026272,South Holland 007E,1,1 car or van in household,252
E01026272,South Holland 007E,2,2 cars or vans in household,168
E01026272,South Holland 007E,3,3 or more cars or vans in household,61
E01026273,South Holland 006C,-8,Does not apply,0
E01026273,South Holland 006C,0,No cars or vans in household,68
E01026273,South Holland 006C,1,1 car or van in household,334
E01026273,South Holland 006C,2,2 cars or vans in household,252
E01026273,South Holland 006C,3,3 or more cars or vans in household,88
E01026275,South Holland 006E,-8,Does not apply,0
E01026275,South Holland 006E,0,No cars or vans in household,203
E01026275,South Holland 006E,1,1 car or van in household,525
E01026275,South Holland 006E,2,2 cars or vans in household,309
E01026275,South Holland 006E,3,3 or more cars or vans in household,77
E01026276,South Holland 001E,-8,Does not apply,0
E01026276,South Holland 001E,0,No cars or vans in household,65
E01026276,South Holland 001E,1,1 car or van in household,321
E01026276,South Holland 001E,2,2 cars or vans in household,382
E01026276,South Holland 001E,3,3 or more cars or vans in household,214
E01026277,South Holland 008D,-8,Does not apply,0
E01026277,South Holland 008D,0,No cars or vans in household,126
E01026277,South Holland 008D,1,1 car or van in household,352
E01026277,South Holland 008D,2,2 cars or vans in household,174
E01026277,South Holland 008D,3,3 or more cars or vans in household,66
E01026278,South Holland 008E,-8,Does not apply,0
E01026278,South Holland 008E,0,No cars or vans in household,63
E01026278,South Holland 008E,1,1 car or van in household,235
E01026278,South Holland 008E,2,2 cars or vans in household,229
E01026278,South Holland 008E,3,3 or more cars or vans in household,104
E01026279,South Holland 008F,-8,Does not apply,0
E01026279,South Holland 008F,0,No cars or vans in household,79
E01026279,South Holland 008F,1,1 car or van in household,303
E01026279,South Holland 008F,2,2 cars or vans in household,176
E01026279,South Holland 008F,3,3 or more cars or vans in household,62
E01026280,South Holland 010C,-8,Does not apply,0
E01026280,South Holland 010C,0,No cars or vans in household,55
E01026280,South Holland 010C,1,1 car or van in household,368
E01026280,South Holland 010C,2,2 cars or vans in household,421
E01026280,South Holland 010C,3,3 or more cars or vans in household,272
E01026281,South Holland 004A,-8,Does not apply,0
E01026281,South Holland 004A,0,No cars or vans in household,48
E01026281,South Holland 004A,1,1 car or van in household,197
E01026281,South Holland 004A,2,2 cars or vans in household,220
E01026281,South Holland 004A,3,3 or more cars or vans in household,121
E01026282,South Holland 004B,-8,Does not apply,0
E01026282,South Holland 004B,0,No cars or vans in household,74
E01026282,South Holland 004B,1,1 car or van in household,271
E01026282,South Holland 004B,2,2 cars or vans in household,293
E01026282,South Holland 004B,3,3 or more cars or vans in household,125
E01026283,South Holland 004C,-8,Does not apply,0
E01026283,South Holland 004C,0,No cars or vans in household,45
E01026283,South Holland 004C,1,1 car or van in household,269
E01026283,South Holland 004C,2,2 cars or vans in household,290
E01026283,South Holland 004C,3,3 or more cars or vans in household,146
E01026284,South Holland 011C,-8,Does not apply,0
E01026284,South Holland 011C,0,No cars or vans in household,64
E01026284,South Holland 011C,1,1 car or van in household,319
E01026284,South Holland 011C,2,2 cars or vans in household,405
E01026284,South Holland 011C,3,3 or more cars or vans in household,184
E01026285,South Holland 004D,-8,Does not apply,0
E01026285,South Holland 004D,0,No cars or vans in household,49
E01026285,South Holland 004D,1,1 car or van in household,229
E01026285,South Holland 004D,2,2 cars or vans in household,234
E01026285,South Holland 004D,3,3 or more cars or vans in household,107
E01026286,South Holland 004E,-8,Does not apply,0
E01026286,South Holland 004E,0,No cars or vans in household,45
E01026286,South Holland 004E,1,1 car or van in household,190
E01026286,South Holland 004E,2,2 cars or vans in household,179
E01026286,South Holland 004E,3,3 or more cars or vans in household,115
E01026287,South Kesteven 015A,-8,Does not apply,0
E01026287,South Kesteven 015A,0,No cars or vans in household,116
E01026287,South Kesteven 015A,1,1 car or van in household,300
E01026287,South Kesteven 015A,2,2 cars or vans in household,160
E01026287,South Kesteven 015A,3,3 or more cars or vans in household,34
E01026288,South Kesteven 015B,-8,Does not apply,0
E01026288,South Kesteven 015B,0,No cars or vans in household,228
E01026288,South Kesteven 015B,1,1 car or van in household,311
E01026288,South Kesteven 015B,2,2 cars or vans in household,176
E01026288,South Kesteven 015B,3,3 or more cars or vans in household,30
E01026289,South Kesteven 015C,-8,Does not apply,0
E01026289,South Kesteven 015C,0,No cars or vans in household,112
E01026289,South Kesteven 015C,1,1 car or van in household,447
E01026289,South Kesteven 015C,2,2 cars or vans in household,324
E01026289,South Kesteven 015C,3,3 or more cars or vans in household,111
E01026290,South Kesteven 008A,-8,Does not apply,0
E01026290,South Kesteven 008A,0,No cars or vans in household,72
E01026290,South Kesteven 008A,1,1 car or van in household,293
E01026290,South Kesteven 008A,2,2 cars or vans in household,374
E01026290,South Kesteven 008A,3,3 or more cars or vans in household,199
E01026291,South Kesteven 002A,-8,Does not apply,0
E01026291,South Kesteven 002A,0,No cars or vans in household,88
E01026291,South Kesteven 002A,1,1 car or van in household,359
E01026291,South Kesteven 002A,2,2 cars or vans in household,338
E01026291,South Kesteven 002A,3,3 or more cars or vans in household,110
E01026292,South Kesteven 007A,-8,Does not apply,0
E01026292,South Kesteven 007A,0,No cars or vans in household,66
E01026292,South Kesteven 007A,1,1 car or van in household,328
E01026292,South Kesteven 007A,2,2 cars or vans in household,187
E01026292,South Kesteven 007A,3,3 or more cars or vans in household,56
E01026293,South Kesteven 007B,-8,Does not apply,0
E01026293,South Kesteven 007B,0,No cars or vans in household,65
E01026293,South Kesteven 007B,1,1 car or van in household,372
E01026293,South Kesteven 007B,2,2 cars or vans in household,318
E01026293,South Kesteven 007B,3,3 or more cars or vans in household,111
E01026294,South Kesteven 007C,-8,Does not apply,0
E01026294,South Kesteven 007C,0,No cars or vans in household,40
E01026294,South Kesteven 007C,1,1 car or van in household,275
E01026294,South Kesteven 007C,2,2 cars or vans in household,274
E01026294,South Kesteven 007C,3,3 or more cars or vans in household,68
E01026296,South Kesteven 011B,-8,Does not apply,0
E01026296,South Kesteven 011B,0,No cars or vans in household,48
E01026296,South Kesteven 011B,1,1 car or van in household,247
E01026296,South Kesteven 011B,2,2 cars or vans in household,247
E01026296,South Kesteven 011B,3,3 or more cars or vans in household,117
E01026297,South Kesteven 011C,-8,Does not apply,0
E01026297,South Kesteven 011C,0,No cars or vans in household,129
E01026297,South Kesteven 011C,1,1 car or van in household,305
E01026297,South Kesteven 011C,2,2 cars or vans in household,174
E01026297,South Kesteven 011C,3,3 or more cars or vans in household,57
E01026298,South Kesteven 011D,-8,Does not apply,0
E01026298,South Kesteven 011D,0,No cars or vans in household,297
E01026298,South Kesteven 011D,1,1 car or van in household,472
E01026298,South Kesteven 011D,2,2 cars or vans in household,211
E01026298,South Kesteven 011D,3,3 or more cars or vans in household,68
E01026299,South Kesteven 010A,-8,Does not apply,0
E01026299,South Kesteven 010A,0,No cars or vans in household,151
E01026299,South Kesteven 010A,1,1 car or van in household,336
E01026299,South Kesteven 010A,2,2 cars or vans in household,185
E01026299,South Kesteven 010A,3,3 or more cars or vans in household,72
E01026300,South Kesteven 010B,-8,Does not apply,0
E01026300,South Kesteven 010B,0,No cars or vans in household,64
E01026300,South Kesteven 010B,1,1 car or van in household,240
E01026300,South Kesteven 010B,2,2 cars or vans in household,237
E01026300,South Kesteven 010B,3,3 or more cars or vans in household,94
E01026302,South Kesteven 010D,-8,Does not apply,0
E01026302,South Kesteven 010D,0,No cars or vans in household,50
E01026302,South Kesteven 010D,1,1 car or van in household,214
E01026302,South Kesteven 010D,2,2 cars or vans in household,176
E01026302,South Kesteven 010D,3,3 or more cars or vans in household,53
E01026303,South Kesteven 014A,-8,Does not apply,0
E01026303,South Kesteven 014A,0,No cars or vans in household,24
E01026303,South Kesteven 014A,1,1 car or van in household,212
E01026303,South Kesteven 014A,2,2 cars or vans in household,216
E01026303,South Kesteven 014A,3,3 or more cars or vans in household,72
E01026304,South Kesteven 014B,-8,Does not apply,0
E01026304,South Kesteven 014B,0,No cars or vans in household,34
E01026304,South Kesteven 014B,1,1 car or van in household,204
E01026304,South Kesteven 014B,2,2 cars or vans in household,271
E01026304,South Kesteven 014B,3,3 or more cars or vans in household,115
E01026305,South Kesteven 014C,-8,Does not apply,0
E01026305,South Kesteven 014C,0,No cars or vans in household,58
E01026305,South Kesteven 014C,1,1 car or van in household,234
E01026305,South Kesteven 014C,2,2 cars or vans in household,251
E01026305,South Kesteven 014C,3,3 or more cars or vans in household,67
E01026306,South Kesteven 014D,-8,Does not apply,0
E01026306,South Kesteven 014D,0,No cars or vans in household,117
E01026306,South Kesteven 014D,1,1 car or van in household,335
E01026306,South Kesteven 014D,2,2 cars or vans in household,271
E01026306,South Kesteven 014D,3,3 or more cars or vans in household,95
E01026307,South Kesteven 014E,-8,Does not apply,0
E01026307,South Kesteven 014E,0,No cars or vans in household,51
E01026307,South Kesteven 014E,1,1 car or van in household,232
E01026307,South Kesteven 014E,2,2 cars or vans in household,194
E01026307,South Kesteven 014E,3,3 or more cars or vans in household,79
E01026308,South Kesteven 005A,-8,Does not apply,0
E01026308,South Kesteven 005A,0,No cars or vans in household,240
E01026308,South Kesteven 005A,1,1 car or van in household,240
E01026308,South Kesteven 005A,2,2 cars or vans in household,120
E01026308,South Kesteven 005A,3,3 or more cars or vans in household,25
E01026309,South Kesteven 005B,-8,Does not apply,0
E01026309,South Kesteven 005B,0,No cars or vans in household,135
E01026309,South Kesteven 005B,1,1 car or van in household,380
E01026309,South Kesteven 005B,2,2 cars or vans in household,167
E01026309,South Kesteven 005B,3,3 or more cars or vans in household,45
E01026310,South Kesteven 005C,-8,Does not apply,0
E01026310,South Kesteven 005C,0,No cars or vans in household,82
E01026310,South Kesteven 005C,1,1 car or van in household,216
E01026310,South Kesteven 005C,2,2 cars or vans in household,121
E01026310,South Kesteven 005C,3,3 or more cars or vans in household,34
E01026311,South Kesteven 005D,-8,Does not apply,0
E01026311,South Kesteven 005D,0,No cars or vans in household,166
E01026311,South Kesteven 005D,1,1 car or van in household,330
E01026311,South Kesteven 005D,2,2 cars or vans in household,155
E01026311,South Kesteven 005D,3,3 or more cars or vans in household,28
E01026312,South Kesteven 005E,-8,Does not apply,0
E01026312,South Kesteven 005E,0,No cars or vans in household,125
E01026312,South Kesteven 005E,1,1 car or van in household,190
E01026312,South Kesteven 005E,2,2 cars or vans in household,98
E01026312,South Kesteven 005E,3,3 or more cars or vans in household,36
E01026313,South Kesteven 001A,-8,Does not apply,0
E01026313,South Kesteven 001A,0,No cars or vans in household,59
E01026313,South Kesteven 001A,1,1 car or van in household,213
E01026313,South Kesteven 001A,2,2 cars or vans in household,240
E01026313,South Kesteven 001A,3,3 or more cars or vans in household,114
E01026314,South Kesteven 001B,-8,Does not apply,0
E01026314,South Kesteven 001B,0,No cars or vans in household,71
E01026314,South Kesteven 001B,1,1 car or van in household,215
E01026314,South Kesteven 001B,2,2 cars or vans in household,216
E01026314,South Kesteven 001B,3,3 or more cars or vans in household,83
E01026315,South Kesteven 009A,-8,Does not apply,0
E01026315,South Kesteven 009A,0,No cars or vans in household,71
E01026315,South Kesteven 009A,1,1 car or van in household,377
E01026315,South Kesteven 009A,2,2 cars or vans in household,373
E01026315,South Kesteven 009A,3,3 or more cars or vans in household,146
E01026316,South Kesteven 007D,-8,Does not apply,0
E01026316,South Kesteven 007D,0,No cars or vans in household,94
E01026316,South Kesteven 007D,1,1 car or van in household,341
E01026316,South Kesteven 007D,2,2 cars or vans in household,435
E01026316,South Kesteven 007D,3,3 or more cars or vans in household,192
E01026317,South Kesteven 006A,-8,Does not apply,0
E01026317,South Kesteven 006A,0,No cars or vans in household,351
E01026317,South Kesteven 006A,1,1 car or van in household,516
E01026317,South Kesteven 006A,2,2 cars or vans in household,210
E01026317,South Kesteven 006A,3,3 or more cars or vans in household,38
E01026318,South Kesteven 006B,-8,Does not apply,0
E01026318,South Kesteven 006B,0,No cars or vans in household,306
E01026318,South Kesteven 006B,1,1 car or van in household,474
E01026318,South Kesteven 006B,2,2 cars or vans in household,205
E01026318,South Kesteven 006B,3,3 or more cars or vans in household,37
E01026319,South Kesteven 006C,-8,Does not apply,0
E01026319,South Kesteven 006C,0,No cars or vans in household,149
E01026319,South Kesteven 006C,1,1 car or van in household,487
E01026319,South Kesteven 006C,2,2 cars or vans in household,362
E01026319,South Kesteven 006C,3,3 or more cars or vans in household,114
E01026321,South Kesteven 004B,-8,Does not apply,0
E01026321,South Kesteven 004B,0,No cars or vans in household,63
E01026321,South Kesteven 004B,1,1 car or van in household,258
E01026321,South Kesteven 004B,2,2 cars or vans in household,207
E01026321,South Kesteven 004B,3,3 or more cars or vans in household,69
E01026322,South Kesteven 004C,-8,Does not apply,0
E01026322,South Kesteven 004C,0,No cars or vans in household,85
E01026322,South Kesteven 004C,1,1 car or van in household,304
E01026322,South Kesteven 004C,2,2 cars or vans in household,159
E01026322,South Kesteven 004C,3,3 or more cars or vans in household,41
E01026323,South Kesteven 004D,-8,Does not apply,0
E01026323,South Kesteven 004D,0,No cars or vans in household,418
E01026323,South Kesteven 004D,1,1 car or van in household,390
E01026323,South Kesteven 004D,2,2 cars or vans in household,200
E01026323,South Kesteven 004D,3,3 or more cars or vans in household,52
E01026324,South Kesteven 004E,-8,Does not apply,0
E01026324,South Kesteven 004E,0,No cars or vans in household,87
E01026324,South Kesteven 004E,1,1 car or van in household,360
E01026324,South Kesteven 004E,2,2 cars or vans in household,321
E01026324,South Kesteven 004E,3,3 or more cars or vans in household,111
E01026325,South Kesteven 003A,-8,Does not apply,0
E01026325,South Kesteven 003A,0,No cars or vans in household,151
E01026325,South Kesteven 003A,1,1 car or van in household,241
E01026325,South Kesteven 003A,2,2 cars or vans in household,183
E01026325,South Kesteven 003A,3,3 or more cars or vans in household,46
E01026326,South Kesteven 003B,-8,Does not apply,0
E01026326,South Kesteven 003B,0,No cars or vans in household,110
E01026326,South Kesteven 003B,1,1 car or van in household,257
E01026326,South Kesteven 003B,2,2 cars or vans in household,197
E01026326,South Kesteven 003B,3,3 or more cars or vans in household,62
E01026327,South Kesteven 003C,-8,Does not apply,0
E01026327,South Kesteven 003C,0,No cars or vans in household,124
E01026327,South Kesteven 003C,1,1 car or van in household,279
E01026327,South Kesteven 003C,2,2 cars or vans in household,157
E01026327,South Kesteven 003C,3,3 or more cars or vans in household,59
E01026328,South Kesteven 003D,-8,Does not apply,0
E01026328,South Kesteven 003D,0,No cars or vans in household,160
E01026328,South Kesteven 003D,1,1 car or van in household,254
E01026328,South Kesteven 003D,2,2 cars or vans in household,139
E01026328,South Kesteven 003D,3,3 or more cars or vans in household,44
E01026329,South Kesteven 001C,-8,Does not apply,0
E01026329,South Kesteven 001C,0,No cars or vans in household,71
E01026329,South Kesteven 001C,1,1 car or van in household,297
E01026329,South Kesteven 001C,2,2 cars or vans in household,309
E01026329,South Kesteven 001C,3,3 or more cars or vans in household,126
E01026330,South Kesteven 012A,-8,Does not apply,0
E01026330,South Kesteven 012A,0,No cars or vans in household,36
E01026330,South Kesteven 012A,1,1 car or van in household,243
E01026330,South Kesteven 012A,2,2 cars or vans in household,380
E01026330,South Kesteven 012A,3,3 or more cars or vans in household,206
E01026331,South Kesteven 009B,-8,Does not apply,0
E01026331,South Kesteven 009B,0,No cars or vans in household,106
E01026331,South Kesteven 009B,1,1 car or van in household,432
E01026331,South Kesteven 009B,2,2 cars or vans in household,393
E01026331,South Kesteven 009B,3,3 or more cars or vans in household,174
E01026332,South Kesteven 007E,-8,Does not apply,0
E01026332,South Kesteven 007E,0,No cars or vans in household,70
E01026332,South Kesteven 007E,1,1 car or van in household,312
E01026332,South Kesteven 007E,2,2 cars or vans in household,347
E01026332,South Kesteven 007E,3,3 or more cars or vans in household,214
E01026333,South Kesteven 001D,-8,Does not apply,0
E01026333,South Kesteven 001D,0,No cars or vans in household,70
E01026333,South Kesteven 001D,1,1 car or van in household,349
E01026333,South Kesteven 001D,2,2 cars or vans in household,420
E01026333,South Kesteven 001D,3,3 or more cars or vans in household,239
E01026334,South Kesteven 013A,-8,Does not apply,0
E01026334,South Kesteven 013A,0,No cars or vans in household,38
E01026334,South Kesteven 013A,1,1 car or van in household,196
E01026334,South Kesteven 013A,2,2 cars or vans in household,306
E01026334,South Kesteven 013A,3,3 or more cars or vans in household,101
E01026335,South Kesteven 013B,-8,Does not apply,0
E01026335,South Kesteven 013B,0,No cars or vans in household,104
E01026335,South Kesteven 013B,1,1 car or van in household,331
E01026335,South Kesteven 013B,2,2 cars or vans in household,214
E01026335,South Kesteven 013B,3,3 or more cars or vans in household,72
E01026336,South Kesteven 013C,-8,Does not apply,0
E01026336,South Kesteven 013C,0,No cars or vans in household,150
E01026336,South Kesteven 013C,1,1 car or van in household,338
E01026336,South Kesteven 013C,2,2 cars or vans in household,247
E01026336,South Kesteven 013C,3,3 or more cars or vans in household,76
E01026337,South Kesteven 013D,-8,Does not apply,0
E01026337,South Kesteven 013D,0,No cars or vans in household,106
E01026337,South Kesteven 013D,1,1 car or van in household,420
E01026337,South Kesteven 013D,2,2 cars or vans in household,323
E01026337,South Kesteven 013D,3,3 or more cars or vans in household,89
E01026338,South Kesteven 009C,-8,Does not apply,0
E01026338,South Kesteven 009C,0,No cars or vans in household,35
E01026338,South Kesteven 009C,1,1 car or van in household,190
E01026338,South Kesteven 009C,2,2 cars or vans in household,221
E01026338,South Kesteven 009C,3,3 or more cars or vans in household,94
E01026339,South Kesteven 009D,-8,Does not apply,0
E01026339,South Kesteven 009D,0,No cars or vans in household,51
E01026339,South Kesteven 009D,1,1 car or van in household,238
E01026339,South Kesteven 009D,2,2 cars or vans in household,204
E01026339,South Kesteven 009D,3,3 or more cars or vans in household,74
E01026340,South Kesteven 002B,-8,Does not apply,0
E01026340,South Kesteven 002B,0,No cars or vans in household,151
E01026340,South Kesteven 002B,1,1 car or van in household,416
E01026340,South Kesteven 002B,2,2 cars or vans in household,328
E01026340,South Kesteven 002B,3,3 or more cars or vans in household,109
E01026341,South Kesteven 008B,-8,Does not apply,0
E01026341,South Kesteven 008B,0,No cars or vans in household,68
E01026341,South Kesteven 008B,1,1 car or van in household,246
E01026341,South Kesteven 008B,2,2 cars or vans in household,228
E01026341,South Kesteven 008B,3,3 or more cars or vans in household,128
E01026342,South Kesteven 008C,-8,Does not apply,0
E01026342,South Kesteven 008C,0,No cars or vans in household,30
E01026342,South Kesteven 008C,1,1 car or van in household,200
E01026342,South Kesteven 008C,2,2 cars or vans in household,246
E01026342,South Kesteven 008C,3,3 or more cars or vans in household,111
E01026343,South Kesteven 006D,-8,Does not apply,0
E01026343,South Kesteven 006D,0,No cars or vans in household,323
E01026343,South Kesteven 006D,1,1 car or van in household,419
E01026343,South Kesteven 006D,2,2 cars or vans in household,159
E01026343,South Kesteven 006D,3,3 or more cars or vans in household,37
E01026344,South Kesteven 006E,-8,Does not apply,0
E01026344,South Kesteven 006E,0,No cars or vans in household,123
E01026344,South Kesteven 006E,1,1 car or van in household,311
E01026344,South Kesteven 006E,2,2 cars or vans in household,182
E01026344,South Kesteven 006E,3,3 or more cars or vans in household,53
E01026345,South Kesteven 006F,-8,Does not apply,0
E01026345,South Kesteven 006F,0,No cars or vans in household,156
E01026345,South Kesteven 006F,1,1 car or van in household,342
E01026345,South Kesteven 006F,2,2 cars or vans in household,176
E01026345,South Kesteven 006F,3,3 or more cars or vans in household,57
E01026346,South Kesteven 015D,-8,Does not apply,0
E01026346,South Kesteven 015D,0,No cars or vans in household,76
E01026346,South Kesteven 015D,1,1 car or van in household,235
E01026346,South Kesteven 015D,2,2 cars or vans in household,150
E01026346,South Kesteven 015D,3,3 or more cars or vans in household,54
E01026347,South Kesteven 015E,-8,Does not apply,0
E01026347,South Kesteven 015E,0,No cars or vans in household,218
E01026347,South Kesteven 015E,1,1 car or van in household,402
E01026347,South Kesteven 015E,2,2 cars or vans in household,171
E01026347,South Kesteven 015E,3,3 or more cars or vans in household,40
E01026348,South Kesteven 015F,-8,Does not apply,0
E01026348,South Kesteven 015F,0,No cars or vans in household,88
E01026348,South Kesteven 015F,1,1 car or van in household,180
E01026348,South Kesteven 015F,2,2 cars or vans in household,160
E01026348,South Kesteven 015F,3,3 or more cars or vans in household,53
E01026349,South Kesteven 016A,-8,Does not apply,0
E01026349,South Kesteven 016A,0,No cars or vans in household,202
E01026349,South Kesteven 016A,1,1 car or van in household,353
E01026349,South Kesteven 016A,2,2 cars or vans in household,175
E01026349,South Kesteven 016A,3,3 or more cars or vans in household,37
E01026350,South Kesteven 016B,-8,Does not apply,0
E01026350,South Kesteven 016B,0,No cars or vans in household,225
E01026350,South Kesteven 016B,1,1 car or van in household,508
E01026350,South Kesteven 016B,2,2 cars or vans in household,203
E01026350,South Kesteven 016B,3,3 or more cars or vans in household,55
E01026351,South Kesteven 016C,-8,Does not apply,0
E01026351,South Kesteven 016C,0,No cars or vans in household,222
E01026351,South Kesteven 016C,1,1 car or van in household,449
E01026351,South Kesteven 016C,2,2 cars or vans in household,146
E01026351,South Kesteven 016C,3,3 or more cars or vans in household,31
E01026352,South Kesteven 003E,-8,Does not apply,0
E01026352,South Kesteven 003E,0,No cars or vans in household,63
E01026352,South Kesteven 003E,1,1 car or van in household,259
E01026352,South Kesteven 003E,2,2 cars or vans in household,179
E01026352,South Kesteven 003E,3,3 or more cars or vans in household,62
E01026353,South Kesteven 003F,-8,Does not apply,0
E01026353,South Kesteven 003F,0,No cars or vans in household,342
E01026353,South Kesteven 003F,1,1 car or van in household,397
E01026353,South Kesteven 003F,2,2 cars or vans in household,101
E01026353,South Kesteven 003F,3,3 or more cars or vans in household,24
E01026354,South Kesteven 003G,-8,Does not apply,0
E01026354,South Kesteven 003G,0,No cars or vans in household,47
E01026354,South Kesteven 003G,1,1 car or van in household,207
E01026354,South Kesteven 003G,2,2 cars or vans in household,177
E01026354,South Kesteven 003G,3,3 or more cars or vans in household,57
E01026355,South Kesteven 002C,-8,Does not apply,0
E01026355,South Kesteven 002C,0,No cars or vans in household,93
E01026355,South Kesteven 002C,1,1 car or van in household,407
E01026355,South Kesteven 002C,2,2 cars or vans in household,428
E01026355,South Kesteven 002C,3,3 or more cars or vans in household,181
E01026356,South Kesteven 016D,-8,Does not apply,0
E01026356,South Kesteven 016D,0,No cars or vans in household,27
E01026356,South Kesteven 016D,1,1 car or van in household,221
E01026356,South Kesteven 016D,2,2 cars or vans in household,239
E01026356,South Kesteven 016D,3,3 or more cars or vans in household,100
E01026357,South Kesteven 016E,-8,Does not apply,0
E01026357,South Kesteven 016E,0,No cars or vans in household,48
E01026357,South Kesteven 016E,1,1 car or van in household,259
E01026357,South Kesteven 016E,2,2 cars or vans in household,214
E01026357,South Kesteven 016E,3,3 or more cars or vans in household,64
E01026358,South Kesteven 016F,-8,Does not apply,0
E01026358,South Kesteven 016F,0,No cars or vans in household,51
E01026358,South Kesteven 016F,1,1 car or van in household,276
E01026358,South Kesteven 016F,2,2 cars or vans in household,245
E01026358,South Kesteven 016F,3,3 or more cars or vans in household,56
E01026359,South Kesteven 016G,-8,Does not apply,0
E01026359,South Kesteven 016G,0,No cars or vans in household,102
E01026359,South Kesteven 016G,1,1 car or van in household,396
E01026359,South Kesteven 016G,2,2 cars or vans in household,418
E01026359,South Kesteven 016G,3,3 or more cars or vans in household,119
E01026360,South Kesteven 012B,-8,Does not apply,0
E01026360,South Kesteven 012B,0,No cars or vans in household,61
E01026360,South Kesteven 012B,1,1 car or van in household,323
E01026360,South Kesteven 012B,2,2 cars or vans in household,383
E01026360,South Kesteven 012B,3,3 or more cars or vans in household,148
E01026361,South Kesteven 008D,-8,Does not apply,0
E01026361,South Kesteven 008D,0,No cars or vans in household,122
E01026361,South Kesteven 008D,1,1 car or van in household,447
E01026361,South Kesteven 008D,2,2 cars or vans in household,433
E01026361,South Kesteven 008D,3,3 or more cars or vans in household,177
E01026362,South Kesteven 012C,-8,Does not apply,0
E01026362,South Kesteven 012C,0,No cars or vans in household,39
E01026362,South Kesteven 012C,1,1 car or van in household,231
E01026362,South Kesteven 012C,2,2 cars or vans in household,306
E01026362,South Kesteven 012C,3,3 or more cars or vans in household,121
E01026363,South Kesteven 012D,-8,Does not apply,0
E01026363,South Kesteven 012D,0,No cars or vans in household,43
E01026363,South Kesteven 012D,1,1 car or van in household,359
E01026363,South Kesteven 012D,2,2 cars or vans in household,324
E01026363,South Kesteven 012D,3,3 or more cars or vans in household,134
E01026364,South Kesteven 012E,-8,Does not apply,0
E01026364,South Kesteven 012E,0,No cars or vans in household,54
E01026364,South Kesteven 012E,1,1 car or van in household,305
E01026364,South Kesteven 012E,2,2 cars or vans in household,317
E01026364,South Kesteven 012E,3,3 or more cars or vans in household,138
E01026365,South Kesteven 002D,-8,Does not apply,0
E01026365,South Kesteven 002D,0,No cars or vans in household,57
E01026365,South Kesteven 002D,1,1 car or van in household,384
E01026365,South Kesteven 002D,2,2 cars or vans in household,392
E01026365,South Kesteven 002D,3,3 or more cars or vans in household,191
E01026366,West Lindsey 011A,-8,Does not apply,0
E01026366,West Lindsey 011A,0,No cars or vans in household,111
E01026366,West Lindsey 011A,1,1 car or van in household,452
