LSOA_Code,LSOA_Name,Total_All_Households,One-person household_Count,One-person household_Pct,One-person household: Aged 66 years and over_Count,One-person household: Aged 66 years and over_Pct,One-person household: Other_Count,One-person household: Other_Pct,Single family household_Count,Single family household_Pct,Single family household: All aged 66 years and over_Count,Single family household: All aged 66 years and over_Pct,Single family household: Married or civil partnership couple_Count,Single family household: Married or civil partnership couple_Pct,Single family household: Married or civil partnership couple: No children_Count,Single family household: Married or civil partnership couple: No children_Pct,Single family household: Married or civil partnership couple: Dependent children_Count,Single family household: Married or civil partnership couple: Dependent children_Pct,Single family household: Married or civil partnership couple: All children non-dependent_Count,Single family household: Married or civil partnership couple: All children non-dependent_Pct,Single family household: Cohabiting couple family_Count,Single family household: Cohabiting couple family_Pct,Single family household: Cohabiting couple family: No children_Count,Single family household: Cohabiting couple family: No children_Pct,Single family household: Cohabiting couple family: With dependent children_Count,Single family household: Cohabiting couple family: With dependent children_Pct,Single family household: Cohabiting couple family: All children non-dependent_Count,Single family household: Cohabiting couple family: All children non-dependent_Pct,Single family household: Lone parent family_Count,Single family household: Lone parent family_Pct,Single family household: Lone parent family: With dependent children_Count,Single family household: Lone parent family: With dependent children_Pct,Single family household: Lone parent family: All children non-dependent_Count,Single family household: Lone parent family: All children non-dependent_Pct,Single family household: Other single family household_Count,Single family household: Other single family household_Pct,Single family household: Other single family household: Other family composition_Count,Single family household: Other single family household: Other family composition_Pct,Other household types_Count,Other household types_Pct,Other household types: With dependent children_Count,Other household types: With dependent children_Pct,"Other household types: Other, including all full-time students and all aged 66 years and over_Count","Other household types: Other, including all full-time students and all aged 66 years and over_Pct"
E01032993,North Kesteven 013D,1050,253,24.1,118,11.2,135,12.9,764,72.8,122,11.6,432,41.1,153,14.6,221,21.0,58,5.5,130,12.4,67,6.4,59,5.6,4,0.4,79,7.5,54,5.1,25,2.4,1,0.1,1,0.1,33,3.1,11,1.0,22,2.1
E01032994,North Kesteven 003H,668,168,25.1,74,11.1,94,14.1,477,71.4,79,11.8,221,33.1,100,15.0,82,12.3,39,5.8,97,14.5,65,9.7,27,4.0,5,0.7,79,11.8,59,8.8,20,3.0,1,0.1,1,0.1,23,3.4,10,1.5,13,1.9
E01032995,South Holland 006F,726,318,43.8,135,18.6,183,25.2,319,43.9,50,6.9,99,13.6,44,6.1,45,6.2,10,1.4,96,13.2,54,7.4,40,5.5,2,0.3,67,9.2,45,6.2,22,3.0,7,1.0,7,1.0,89,12.3,23,3.2,66,9.1
E01032996,South Holland 006G,570,129,22.6,74,13.0,55,9.6,396,69.5,90,15.8,196,34.4,82,14.4,79,13.9,35,6.1,59,10.4,26,4.6,25,4.4,8,1.4,45,7.9,26,4.6,19,3.3,6,1.1,6,1.1,45,7.9,19,3.3,26,4.6
E01032997,South Kesteven 011E,492,111,22.6,33,6.7,78,15.9,359,73.0,33,6.7,172,35.0,55,11.2,97,19.7,20,4.1,75,15.2,41,8.3,33,6.7,1,0.2,78,15.9,64,13.0,14,2.8,1,0.2,1,0.2,22,4.5,9,1.8,13,2.6
E01032998,South Kesteven 011F,739,187,25.3,31,4.2,156,21.1,529,71.6,30,4.1,281,38.0,75,10.1,179,24.2,27,3.7,119,16.1,65,8.8,50,6.8,4,0.5,93,12.6,70,9.5,23,3.1,6,0.8,6,0.8,23,3.1,11,1.5,12,1.6
E01032999,South Kesteven 011G,569,163,28.6,97,17.0,66,11.6,380,66.8,94,16.5,169,29.7,65,11.4,72,12.7,32,5.6,63,11.1,33,5.8,27,4.7,3,0.5,50,8.8,30,5.3,20,3.5,4,0.7,4,0.7,26,4.6,8,1.4,18,3.2
E01034679,Boston 002F,554,127,22.9,39,7.0,88,15.9,341,61.6,40,7.2,144,26.0,62,11.2,55,9.9,27,4.9,85,15.3,39,7.0,42,7.6,4,0.7,67,12.1,47,8.5,20,3.6,5,0.9,5,0.9,86,15.5,44,7.9,42,7.6
E01034680,Boston 002G,565,120,21.2,51,9.0,69,12.2,357,63.2,17,3.0,138,24.4,36,6.4,77,13.6,25,4.4,94,16.6,38,6.7,50,8.8,6,1.1,100,17.7,65,11.5,35,6.2,8,1.4,8,1.4,88,15.6,48,8.5,40,7.1
E01034681,Boston 003E,600,212,35.3,37,6.2,175,29.2,307,51.2,10,1.7,108,18.0,41,6.8,52,8.7,15,2.5,100,16.7,50,8.3,49,8.2,1,0.2,80,13.3,57,9.5,23,3.8,9,1.5,9,1.5,81,13.5,33,5.5,48,8.0
E01034682,Boston 003F,657,195,29.7,37,5.6,158,24.0,341,51.9,16,2.4,105,16.0,46,7.0,44,6.7,15,2.3,130,19.8,61,9.3,62,9.4,7,1.1,71,10.8,54,8.2,17,2.6,19,2.9,19,2.9,121,18.4,54,8.2,67,10.2
E01034683,Boston 009E,573,110,19.2,54,9.4,56,9.8,420,73.3,68,11.9,201,35.1,70,12.2,96,16.8,35,6.1,84,14.7,38,6.6,42,7.3,4,0.7,64,11.2,41,7.2,23,4.0,3,0.5,3,0.5,43,7.5,11,1.9,32,5.6
E01034684,Boston 009F,563,112,19.9,43,7.6,69,12.3,411,73.0,31,5.5,199,35.3,63,11.2,107,19.0,29,5.2,112,19.9,52,9.2,52,9.2,8,1.4,65,11.5,50,8.9,15,2.7,4,0.7,4,0.7,40,7.1,26,4.6,14,2.5
E01034685,East Lindsey 012E,643,214,33.3,154,24.0,60,9.3,410,63.8,163,25.3,164,25.5,113,17.6,24,3.7,27,4.2,53,8.2,37,5.8,14,2.2,2,0.3,28,4.4,12,1.9,16,2.5,2,0.3,2,0.3,19,3.0,6,0.9,13,2.0
E01034686,East Lindsey 012F,747,209,28.0,93,12.4,116,15.5,498,66.7,69,9.2,179,24.0,87,11.6,61,8.2,31,4.1,155,20.7,75,10.0,79,10.6,1,0.1,90,12.0,70,9.4,20,2.7,5,0.7,5,0.7,40,5.4,22,2.9,18,2.4
E01034687,Lincoln 005E,462,138,29.9,31,6.7,107,23.2,169,36.6,13,2.8,74,16.0,28,6.1,33,7.1,13,2.8,60,13.0,54,11.7,6,1.3,0,0.0,15,3.2,10,2.2,5,1.1,7,1.5,7,1.5,155,33.5,2,0.4,153,33.1
E01034688,Lincoln 005F,434,191,44.0,27,6.2,164,37.8,150,34.6,17,3.9,54,12.4,32,7.4,18,4.1,4,0.9,54,12.4,50,11.5,3,0.7,1,0.2,17,3.9,10,2.3,7,1.6,8,1.8,8,1.8,93,21.4,6,1.4,87,20.0
E01034689,Lincoln 007E,520,142,27.3,38,7.3,104,20.0,353,67.9,30,5.8,127,24.4,54,10.4,62,11.9,11,2.1,114,21.9,67,12.9,41,7.9,6,1.2,82,15.8,61,11.7,21,4.0,0,0.0,0,0.0,25,4.8,10,1.9,15,2.9
E01034690,Lincoln 007F,694,211,30.4,96,13.8,115,16.6,445,64.1,69,9.9,185,26.7,75,10.8,81,11.7,29,4.2,111,16.0,65,9.4,39,5.6,7,1.0,78,11.2,43,6.2,35,5.0,2,0.3,2,0.3,38,5.5,21,3.0,17,2.4
E01034691,Lincoln 008E,456,166,36.4,25,5.5,141,30.9,258,56.6,22,4.8,84,18.4,30,6.6,41,9.0,13,2.9,70,15.4,45,9.9,24,5.3,1,0.2,67,14.7,57,12.5,10,2.2,15,3.3,15,3.3,32,7.0,8,1.8,24,5.3
E01034692,Lincoln 008F,640,213,33.3,66,10.3,147,23.0,322,50.3,23,3.6,108,16.9,44,6.9,49,7.7,15,2.3,109,17.0,74,11.6,33,5.2,2,0.3,71,11.1,50,7.8,21,3.3,11,1.7,11,1.7,105,16.4,15,2.3,90,14.1
E01034693,North Kesteven 003I,677,119,17.6,17,2.5,102,15.1,538,79.5,27,4.0,294,43.4,81,12.0,191,28.2,22,3.2,155,22.9,82,12.1,68,10.0,5,0.7,57,8.4,50,7.4,7,1.0,5,0.7,5,0.7,20,3.0,10,1.5,10,1.5
E01034694,North Kesteven 003J,710,148,20.8,15,2.1,133,18.7,534,75.2,22,3.1,290,40.8,83,11.7,191,26.9,16,2.3,138,19.4,80,11.3,51,7.2,7,1.0,84,11.8,66,9.3,18,2.5,0,0.0,0,0.0,28,3.9,13,1.8,15,2.1
E01034695,North Kesteven 011F,747,162,21.7,28,3.7,134,17.9,537,71.9,28,3.7,336,45.0,99,13.3,213,28.5,24,3.2,113,15.1,56,7.5,50,6.7,7,0.9,54,7.2,42,5.6,12,1.6,6,0.8,6,0.8,48,6.4,23,3.1,25,3.3
E01034696,North Kesteven 011G,623,132,21.2,80,12.8,52,8.3,473,75.9,106,17.0,297,47.7,113,18.1,119,19.1,65,10.4,36,5.8,20,3.2,13,2.1,3,0.5,34,5.5,18,2.9,16,2.6,0,0.0,0,0.0,18,2.9,7,1.1,11,1.8
E01034697,South Holland 006H,650,165,25.4,76,11.7,89,13.7,440,67.7,57,8.8,210,32.3,74,11.4,106,16.3,30,4.6,98,15.1,46,7.1,49,7.5,3,0.5,66,10.2,50,7.7,16,2.5,9,1.4,9,1.4,45,6.9,22,3.4,23,3.5
E01034698,South Holland 006I,632,96,15.2,21,3.3,75,11.9,459,72.6,36,5.7,253,40.0,68,10.8,156,24.7,29,4.6,96,15.2,42,6.6,51,8.1,3,0.5,65,10.3,55,8.7,10,1.6,9,1.4,9,1.4,77,12.2,45,7.1,32,5.1
E01034699,South Holland 009F,548,128,23.4,43,7.8,85,15.5,348,63.5,36,6.6,154,28.1,57,10.4,83,15.1,14,2.6,80,14.6,32,5.8,44,8.0,4,0.7,74,13.5,54,9.9,20,3.6,4,0.7,4,0.7,72,13.1,33,6.0,39,7.1
E01034700,South Holland 009G,667,222,33.3,115,17.2,107,16.0,408,61.2,107,16.0,172,25.8,76,11.4,68,10.2,28,4.2,67,10.0,40,6.0,25,3.7,2,0.3,58,8.7,30,4.5,28,4.2,4,0.6,4,0.6,37,5.5,18,2.7,19,2.8
E01034701,South Kesteven 004F,602,111,18.4,25,4.2,86,14.3,474,78.7,18,3.0,223,37.0,66,11.0,145,24.1,12,2.0,158,26.2,86,14.3,70,11.6,2,0.3,72,12.0,60,10.0,12,2.0,3,0.5,3,0.5,17,2.8,6,1.0,11,1.8
E01034702,South Kesteven 004G,649,126,19.4,64,9.9,62,9.6,501,77.2,104,16.0,288,44.4,106,16.3,121,18.6,61,9.4,70,10.8,30,4.6,29,4.5,11,1.7,39,6.0,27,4.2,12,1.8,0,0.0,0,0.0,22,3.4,10,1.5,12,1.8
E01034703,South Kesteven 010E,571,168,29.4,113,19.8,55,9.6,384,67.3,117,20.5,188,32.9,81,14.2,70,12.3,37,6.5,40,7.0,18,3.2,19,3.3,3,0.5,36,6.3,13,2.3,23,4.0,3,0.5,3,0.5,19,3.3,7,1.2,12,2.1
E01034704,South Kesteven 010F,552,123,22.3,16,2.9,107,19.4,395,71.6,19,3.4,185,33.5,51,9.2,125,22.6,9,1.6,124,22.5,67,12.1,56,10.1,1,0.2,62,11.2,53,9.6,9,1.6,5,0.9,5,0.9,34,6.2,16,2.9,18,3.3
E01034705,South Kesteven 010G,550,105,19.1,32,5.8,73,13.3,421,76.5,29,5.3,193,35.1,51,9.3,135,24.5,7,1.3,130,23.6,80,14.5,48,8.7,2,0.4,64,11.6,51,9.3,13,2.4,5,0.9,5,0.9,24,4.4,12,2.2,12,2.2
E01034706,West Lindsey 009E,648,128,19.8,47,7.3,81,12.5,508,78.4,75,11.6,260,40.1,91,14.0,128,19.8,41,6.3,105,16.2,58,9.0,42,6.5,5,0.8,67,10.3,45,6.9,22,3.4,1,0.2,1,0.2,12,1.9,2,0.3,10,1.5
E01034707,West Lindsey 009F,612,199,32.5,80,13.1,119,19.4,395,64.5,95,15.5,210,34.3,133,21.7,46,7.5,31,5.1,64,10.5,55,9.0,9,1.5,0,0.0,24,3.9,16,2.6,8,1.3,2,0.3,2,0.3,18,2.9,2,0.3,16,2.6
