LSOA_code,Region,LA_Code,LA_Name,Hosp_pop,HospPTt,HospPT15n,HospPT30n,HospPT45n,HospPT60n,HospPT15pct,HospPT30pct,HospPT45pct,HospPT60pct,HospCyct,HospCyc15n,HospCyc30n,HospCyc45n,HospCyc60n,HospCyc15pct,HospCyc30pct,HospCyc45pct,HospCyc60pct,HospCart,HospCar15n,HospCar30n,HospCar45n,HospCar60n,HospCar15pct,HospCar30pct,HospCar45pct,HospCar60pct,HospWalkt,HospWalk15n,HospWalk30n,HospWalk45n,HospWalk60n,HospWalk15pct,HospWalk30pct,HospWalk45pct,HospWalk60pct
E01026006,East Midlands,E07000136,Boston,1216.02606964111,22.3446909055892,0,1,1,1,0,100,100,100,20.5896782240028,0,1,1,1,0,100,100,100,13.8944124272796,0.892950382913675,1,1,2.6161879958957,89.2950382913675,100,100,100,40.9855093731608,0,0,0.799825925543512,1,0,0,79.9825925543512,100
E01026007,East Midlands,E07000136,Boston,501.650436401367,24.7115611096062,0,1,1,1,0,100,100,100,30.2833119852658,0,0.504219424876315,1,1,0,50.4219424876315,100,100,15.1698312744956,0.504219424876315,1,1,1,50.4219424876315,100,100,100,74.2788397333302,0,0,0,0,0,0,0,0
E01026008,East Midlands,E07000136,Boston,557.742149353027,39.5883681867769,0,0.740037953130003,0.740037953130003,0.740037953130003,0,74.0037953130003,74.0037953130003,74.0037953130003,29.3979696121646,0,0.569259961841684,1,1,0,56.9259961841684,100,100,14.8836433488741,0.569259961841684,1,1,1,56.9259961841684,100,100,100,71.4135680705262,0,0,0,0.26944971381263,0,0,0,26.9449713812629
E01026009,East Midlands,E07000136,Boston,546.100463867188,26.0348456350038,0,0.720930229309144,1,1,0,72.0930229309144,100,100,38.729379187345,0,0,1,1,0,0,100,100,17.738875627523,0,1,1,1,0,100,100,100,102.477401819261,0,0,0,0,0,0,0,0
E01026010,East Midlands,E07000136,Boston,667.808898925781,33.2886998894871,0,0,1,1,0,0,100,100,23.3116801356467,0,1,1,1,0,100,100,100,14.8256895465787,0.755942942668755,1,1,1,75.5942942668755,100,100,100,48.4773848340151,0,0,0,1,0,0,0,100
E01026011,East Midlands,E07000136,Boston,1175.80935668945,34.0889564372002,0,0.259225920186034,1,1,0,25.9225920186034,100,100,21.5334385762507,0,1,1,1,0,100,100,100,13.7535823521513,0.892889292176129,1,1,1.13231323036531,89.2889292176129,100,100,100,44.1994686254674,0,0,0.517551750281302,1,0,0,51.7551750281302,100
E01026012,East Midlands,E07000136,Boston,581.025497436523,25.8783423705257,0,1,1,1,0,100,100,100,20.4387615743441,0,1,1,1,0,100,100,100,12.2248085047787,1,1,1,1,100,100,100,100,39.4344077068238,0,0,1,1,0,0,100,100
E01026013,East Midlands,E07000136,Boston,661.45890045166,23.1252158518425,0,1,1,1,0,100,100,100,17.3347843134859,0.214399999187993,1,1,1,21.4399999187993,100,100,100,11.4968318305961,1,1,1,1,100,100,100,100,29.77609593226,0,0.425599998043801,1,1,0,42.5599998043801,100,100
E01026014,East Midlands,E07000136,Boston,845.609046936035,34.1027286067637,0,0.211514381710458,1,1,0,21.1514381710458,100,100,25.7153937807125,0,1,1,1,0,100,100,100,14.6689987429953,0.81602002149687,1,1,1,81.602002149687,100,100,100,56.2980360657777,0,0,0,0.650813512029237,0,0,0,65.0813512029237
E01026015,East Midlands,E07000136,Boston,680.508934020996,31.9255988979272,0,0.399688944531353,1,1,0,39.9688944531353,100,100,20.6631572535414,0,1,1,1,0,100,100,100,13.2725347682307,1,1,1,1,100,100,100,100,39.8220687457126,0,0,0.777604981641092,1,0,0,77.7604981641093,100
