LSOA_code,Region,LA_Code,LA_Name,Hosp_pop,HospPTt,HospPT15n,HospPT30n,HospPT45n,HospPT60n,HospPT15pct,HospPT30pct,HospPT45pct,HospPT60pct,HospCyct,HospCyc15n,HospCyc30n,HospCyc45n,HospCyc60n,HospCyc15pct,HospCyc30pct,HospCyc45pct,HospCyc60pct,HospCart,HospCar15n,HospCar30n,HospCar45n,HospCar60n,HospCar15pct,HospCar30pct,HospCar45pct,HospCar60pct
E01026006,East Midlands,E07000136,Boston,1107.3854,23.5117595251101,0,0.882521,1,1.598853,0,88.2521,100,100,18.5700312456872,0,1,1,1,0,100,100,100,16.1017145286351,0,1,1.465138,5.802292,0,100,100,100
E01026007,East Midlands,E07000136,Boston,457.973141,25.6840606000215,0,1,1,1,0,100,100,100,28.0569229023614,0,1,1,1,0,100,100,100,15.1844006096528,0.228637,1,2,3,22.8637,100,100,100
E01026008,East Midlands,E07000136,Boston,557.394562,56.1945338550766,0,0.740037,0.740037,0.910815,0,74.0037,74.0037,74.0037,29.4354938933029,0,0.740037,1,1,0,74.0037,100,100,15.9428657065581,0.569259,1,2,2.740037,56.9259,100,100,100
E01026009,East Midlands,E07000136,Boston,498.164779,33.6593119482777,0,0.248407,1,1.549893,0,24.8407,100,100,35.8265976521979,0,0,1,1,0,0,100,100,16.5436431718565,0,1,2,3,0,100,100,100
E01026010,East Midlands,E07000136,Boston,667.39273,33.3423976971179,0,0,1,1,0,0,100,100,20.8110271071901,0,1,1,1,0,100,100,100,18.5065944547556,0,1,1,5,0,100,100,100
E01026011,East Midlands,E07000136,Boston,1062.963064,32.7981422605108,0,0.392039,1,1.392039,0,39.2039,100,100,19.1475166881254,0,1,1,1,0,100,100,100,17.5090111278998,0,1,1.098507,5,0,100,100,100
E01026012,East Midlands,E07000136,Boston,580.663405,26.0187918622982,0,1,1,1,0,100,100,100,18.124053079038,0,1,1,1,0,100,100,100,12.8908484449934,1,1,2,3.511839,100,100,100,100
E01026013,East Midlands,E07000136,Boston,631.431789,23.709154900956,0,1,1,1,0,100,100,100,15.3264449331716,0.386934,1,1,1,38.6934,100,100,100,12.6651212166187,1,1,2,3.221105,100,100,100,100
E01026014,East Midlands,E07000136,Boston,787.967644,34.2920627833035,0,0.226845,1,1,0,22.6845,100,100,23.0886213586474,0,1,1,1,0,100,100,100,15.2256761854685,0.359731,1,2,3.398657,35.9731,100,100,100
E01026015,East Midlands,E07000136,Boston,597.5862,33.2691193841278,0,0.39469,1,1,0,39.469,100,100,18.7713054601786,0,1,1,1,0,100,100,100,14.987832924944,0.824778,1,2,4,82.4778,100,100,100
