LSOA_code,Region,LA_Code,LA_Name,Ph_pop,PhCyct,PhCyc15n,PhCyc30n,PhCyc45n,PhCyc60n,PhCyc15pct,PhCyc30pct,PhCyc45pct,PhCyc60pct,PhCart,PhCar15n,PhCar30n,PhCar45n,PhCar60n,PhCar15pct,PhCar30pct,PhCar45pct,PhCar60pct
E01026036,East Midlands,E07000136,Boston,704,4.98101503624696,7,7.23153409090909,8,9,100,100,100,100,4.8948550080997,8,10,10,10,100,100,100,100
E01026037,East Midlands,E07000136,Boston,615,7.99287598502367,6.8,7,8,9,100,100,100,100,7.41149745069948,7.24390243902439,10,10,10,100,100,100,100
E01026038,East Midlands,E07000136,Boston,588,11.3349532939935,5.94557823129252,7,8,9,100,100,100,100,8.73982857098089,7,10,10,10,100,100,100,100
E01026039,East Midlands,E07000136,Boston,505,14.872264496354,0.516831683168317,8,9,10,51.6831683168317,100,100,100,8.93283472474942,7.73069306930693,9.75247524752475,10,10,100,100,100,100
E01026040,East Midlands,E07000136,Boston,509,15.5279555715061,0.982318271119843,8,8.73477406679764,9.73477406679764,49.1159135559921,100,100,100,9.11049000848125,8,9.26522593320236,10,10,100,100,100,100
E01026041,East Midlands,E07000136,Boston,628,16.7076491102206,0,8,9,10,--,100,100,100,9.23280319991468,8.19267515923567,10,10,10,100,100,100,100
E01026042,East Midlands,E07000137,East Lindsey,683,5.85760969804558,1,1,2.20937042459736,8,100,100,100,100,5.5987247778173,1,10,10,10,100,100,100,100
E01026043,East Midlands,E07000137,East Lindsey,733,7.23129725556654,1,1,1,8,100,100,100,100,6.31936590497337,1,10,10,10,100,100,100,100
E01026044,East Midlands,E07000137,East Lindsey,598,19.6429562121297,0.40133779264214,1.41973244147157,4.61705685618729,8.24080267558528,40.133779264214,100,100,100,9.9709084410323,2.15217391304348,10,10,10,100,100,100,100
E01026045,East Midlands,E07000137,East Lindsey,877,39.8452955007814,0,1.03534777651083,2.17673888255416,4.89851767388826,--,25.8836944127708,50.1710376282782,100,16.5154470711874,1.71493728620296,10,10,10,42.8734321550741,100,100,100
E01026046,East Midlands,E07000137,East Lindsey,540,30.2246809262188,0,1.18518518518519,8,10,--,23.7037037037037,100,100,13.2054789026244,4.72592592592593,10,10,10,100,100,100,100
E01026047,East Midlands,E07000137,East Lindsey,598,32.1717482204883,0,0,8,10,--,--,100,100,14.578791414702,2.90635451505017,10,10,10,62.3745819397993,100,100,100
E01026048,East Midlands,E07000137,East Lindsey,770,8.14575477469337,1,3,3.64415584415584,10,100,100,100,100,6.76717206593478,3,10,10,10,100,100,100,100
E01026049,East Midlands,E07000137,East Lindsey,739,16.2706724283901,0.179972936400541,2.25304465493911,3.51691474966171,9.74154262516915,17.9972936400541,100,100,100,10.392134525446,2.4830852503383,10,10,10,100,100,100,100
E01026050,East Midlands,E07000137,East Lindsey,813,8.01874688257799,1,3,3.17466174661747,10,100,100,100,100,6.81335640867051,3,10,10,10,100,100,100,100
E01026051,East Midlands,E07000137,East Lindsey,534,9.91701332384259,0.917602996254682,1,1.91760299625468,3.83520599250936,91.7602996254682,100,100,100,7.01269550876887,1.91760299625468,9.08239700374532,10,10,100,100,100,100
E01026052,East Midlands,E07000137,East Lindsey,655,11.1330138778526,0.622900763358779,1,1.62290076335878,3.24580152671756,62.2900763358779,100,100,100,8.3281232727008,1,7.45038167938931,10,10,100,100,100,100
E01026053,East Midlands,E07000137,East Lindsey,777,11.5128476469196,1,1.46203346203346,2,2.94851994851995,100,100,100,100,8.03866226667863,2,9.08236808236808,10,10,100,100,100,100
E01026054,East Midlands,E07000137,East Lindsey,738,8.12042982490439,1,1.23577235772358,2,3.17479674796748,100,100,100,100,6.41202635483784,1.94173441734417,8.02710027100271,10,10,100,100,100,100
E01026055,East Midlands,E07000137,East Lindsey,493,28.6799903757945,0,0.705882352941177,2.65922920892495,5.61866125760649,--,70.5882352941177,100,100,13.4404939885327,0.86815415821501,9.73833671399594,10,10,86.815415821501,100,100,100
E01026056,East Midlands,E07000137,East Lindsey,482,15.7202137515076,0.506224066390041,2.62863070539419,5.649377593361,9,50.6224066390041,100,100,100,8.93970938747765,3.81742738589212,9.73236514522821,10,10,100,100,100,100
E01026057,East Midlands,E07000137,East Lindsey,839,38.8055843493315,0,1.1311084624553,4.6388557806913,7.53635280095352,--,29.4398092967819,66.26936829559,100,16.3860184601445,1.48748510131108,10,10,10,29.4398092967819,100,100,100
E01026058,East Midlands,E07000137,East Lindsey,930,33.4490109623668,0,0,4,4,--,--,100,100,13.7429445899766,1.86774193548387,9.04516129032258,10,10,91.505376344086,100,100,100
E01026059,East Midlands,E07000137,East Lindsey,460,16.6105269658143,0.421739130434783,1,1,1.66086956521739,42.1739130434783,100,100,100,10.504377903882,1,8.70434782608696,10,10,100,100,100,100
E01026060,East Midlands,E07000137,East Lindsey,576,27.876261816765,0,0.803819444444444,1,2.35763888888889,--,80.3819444444444,100,100,13.5508591264554,0.803819444444444,7.03645833333333,10,10,80.3819444444444,100,100,100
E01026061,East Midlands,E07000137,East Lindsey,511,9.45374461088072,1,5,10,10,100,100,100,100,7.66644793920942,3.75342465753425,10,10,10,100,100,100,100
E01026062,East Midlands,E07000137,East Lindsey,533,8.65674588795729,1,5,10,10,100,100,100,100,7.2392353425111,4.49343339587242,10,10,10,100,100,100,100
E01026063,East Midlands,E07000137,East Lindsey,566,5.42690362375871,1.25795053003534,6.25795053003534,10,10,100,100,100,100,5.01358611741149,6.03886925795053,10,10,10,100,100,100,100
E01026064,East Midlands,E07000137,East Lindsey,665,9.64529746691608,2,2,3,4,100,100,100,100,8.20370188987363,2,7.21804511278195,10,10,100,100,100,100
E01026065,East Midlands,E07000137,East Lindsey,843,8.28031957100427,2,2,2,4,100,100,100,100,7.01184179745413,2,7.29181494661922,10,10,100,100,100,100
E01026066,East Midlands,E07000137,East Lindsey,892,9.69256475020943,1.87107623318386,2,2.73094170403587,3.85986547085202,100,100,100,100,7.73228447617582,2,8.86995515695067,10,10,100,100,100,100
E01026067,East Midlands,E07000137,East Lindsey,950,5.81640204920228,2,2,2.81473684210526,4,100,100,100,100,5.37689690270866,2,6.06736842105263,10,10,100,100,100,100
E01026068,East Midlands,E07000137,East Lindsey,960,24.4213217314873,0.207291666666667,0.6875,1.13958333333333,3.39479166666667,20.7291666666667,68.75,100,100,12.3090553568065,0.911458333333333,7.80833333333333,10,10,91.1458333333333,100,100,100
E01026069,East Midlands,E07000137,East Lindsey,997,7.59015967818005,2,4.74423269809428,8,8.71213640922768,100,100,100,100,6.23453539899661,5.64794383149448,10,10,10,100,100,100,100
E01026070,East Midlands,E07000137,East Lindsey,853,23.8542613468991,0.23915592028136,3.54044548651817,4,4.11488862837046,7.97186400937866,88.5111371629543,100,100,11.2307675275012,3.54044548651817,8.96483001172333,10,10,88.5111371629543,100,100,100
E01026071,East Midlands,E07000137,East Lindsey,968,44.4837760872139,0,0,0.389462809917355,4.40392561983471,--,--,34.0909090909091,100,18.2469989680995,0,8.60330578512397,10,10,--,100,100,100
E01026072,East Midlands,E07000137,East Lindsey,903,6.55592107075232,3,5,5,6,100,100,100,100,5.91424464202996,5,6.99667774086379,10,10,100,100,100,100
E01026073,East Midlands,E07000137,East Lindsey,959,5.82045140732873,3,5,5,6,100,100,100,100,5.58633562080669,5,6.66736183524505,10,10,100,100,100,100
E01026074,East Midlands,E07000137,East Lindsey,982,9.62174967366886,3,5,5,6,100,100,100,100,8.02323785026688,5,6.13849287169043,10,10,100,100,100,100
E01026075,East Midlands,E07000137,East Lindsey,944,31.0641436026647,0,0.247881355932203,2.20762711864407,4.11334745762712,--,24.7881355932203,100,100,13.3006927477153,0.973516949152542,7.9364406779661,10,10,88.6652542372881,100,100,100
E01026076,East Midlands,E07000137,East Lindsey,948,45.1200380118388,0,0.443037974683544,1.46940928270042,5.27004219409283,--,11.0759493670886,48.5232067510549,100,19.8662735565653,0.110759493670886,9.59493670886076,10,10,11.0759493670886,100,100,100
E01026077,East Midlands,E07000137,East Lindsey,511,10.5520633994693,4,4,4,4,100,100,100,100,8.0277042397311,4,4.26614481409002,4.26614481409002,7.26614481409002,100,100,100,100
E01026078,East Midlands,E07000137,East Lindsey,480,10.5050046531513,4,4,4,4,100,100,100,100,8.37930212839685,4,4.2375,4.2375,4.2375,100,100,100,100
E01026079,East Midlands,E07000137,East Lindsey,858,66.2174435794543,0,0,0,0.442890442890443,--,--,--,11.0722610722611,23.0816066292917,0,9.74825174825175,10,10,--,100,100,100
E01026080,East Midlands,E07000137,East Lindsey,867,32.0816780330597,0,0.65282583621684,3.56862745098039,10,--,65.282583621684,100,100,14.0883995961084,2.05420991926182,10,10,10,74.8558246828143,100,100,100
E01026081,East Midlands,E07000137,East Lindsey,1195,4.69281795636872,4,4,4,4,100,100,100,100,4.44583957791428,4,5.22092050209205,5.22092050209205,10,100,100,100,100
E01026082,East Midlands,E07000137,East Lindsey,1022,27.5774409414899,0,0.831702544031311,3.32485322896282,4.43444227005871,--,77.3972602739726,100,100,12.5099213491881,1.44618395303327,7.8013698630137,10,10,87.7690802348337,100,100,100
E01026083,East Midlands,E07000137,East Lindsey,810,10.652660625905,5,6.27777777777778,8,9,100,100,100,100,8.00117773123931,5.82469135802469,10,10,10,100,100,100,100
E01026084,East Midlands,E07000137,East Lindsey,696,10.07276423802,5,6.79454022988506,8.4066091954023,9,100,100,100,100,7.42853657918993,6.56752873563218,9.86494252873563,10,10,100,100,100,100
E01026085,East Midlands,E07000137,East Lindsey,1114,14.730263611939,2.31597845601436,6.8096947935368,8.7818671454219,9,59.245960502693,100,100,100,9.75311096131016,6.39048473967684,10,10,10,100,100,100,100
E01026087,East Midlands,E07000137,East Lindsey,498,11.1423635924533,4,4,4,4,100,100,100,100,8.87388740762488,4,6.73092369477912,8.26104417670683,10,100,100,100,100
E01026088,East Midlands,E07000137,East Lindsey,558,11.121761680695,3.72222222222222,4,4,4,100,100,100,100,8.84343560606415,4,6.2921146953405,8.81003584229391,10,100,100,100,100
E01026089,East Midlands,E07000137,East Lindsey,987,6.17157296751613,4,4,4,4,100,100,100,100,5.59896449119147,4,5.24721377912867,5.24721377912867,10,100,100,100,100
E01026090,East Midlands,E07000137,East Lindsey,621,8.28139154897982,4,4,4,4,100,100,100,100,6.99997778325677,4,7.0048309178744,10,10,100,100,100,100
