LSOA_code,Region,LA_Code,LA_Name,GP_pop,GPPTt,GPPT15n,GPPT30n,GPPT45n,GPPT60n,GPPT15pct,GPPT30pct,GPPT45pct,GPPT60pct,GPCyct,GPCyc15n,GPCyc30n,GPCyc45n,GPCyc60n,GPCyc15pct,GPCyc30pct,GPCyc45pct,GPCyc60pct,GPCart,GPCar15n,GPCar30n,GPCar45n,GPCar60n,GPCar15pct,GPCar30pct,GPCar45pct,GPCar60pct
E01026006,East Midlands,E07000136,Boston,1112.56458,5.3480356086921,4.792741,10,10,10,100,100,100,100,7.15707827411937,4,5,6.117478,8.148997,100,100,100,100,7.11419940130566,4.677172,10,10,10,100,100,100,100
E01026007,East Midlands,E07000136,Boston,460.115056,21.7582571344296,0,4.34642,9.279445,10,0,100,100,100,28.8898135680299,0,1.228637,5,6,0,100,100,100,13.4796831854459,1.228637,8.73672,10,10,100,100,100,100
E01026008,East Midlands,E07000136,Boston,560.001467,49.7997319888872,0,6.318785,7.400379,7.400379,0,74.0037,74.0037,74.0037,28.8111552759544,0,2.789373,5,6.269449,0,74.0037,100,100,14.8735469188887,1.779886,9.049335,10,10,74.0037,100,100,100
E01026009,East Midlands,E07000136,Boston,500.494669,18.5673656378335,0.248407,3.520169,7.949044,10,24.8407,100,100,100,19.8448047808515,0,1,4.278131,6.488322,0,100,100,100,9.9830733586133,1,8.760084,10,10,100,100,100,100
E01026010,East Midlands,E07000136,Boston,670.514089,14.2792887206528,0.664025,7,10,10,66.4025,100,100,100,11.6592499250582,4,4,5,8,100,100,100,100,10.6850968826018,4,10,10,10,100,100,100,100
E01026011,East Midlands,E07000136,Boston,1067.934484,15.2430985531919,2.146268,7.836815,10,10,68.4577,100,100,100,10.1703662648534,3.763184,4,5,8,100,100,100,100,9.75984571892822,4,10,10,10,100,100,100,100
E01026012,East Midlands,E07000136,Boston,583.379136,18.8694225196138,0,8.765027,9.253187,10,0,100,100,100,14.726098206621,1.327868,4,5.746812,9,53.734,100,100,100,10.561058787849,3.765027,10,10,10,100,100,100,100
E01026013,East Midlands,E07000136,Boston,634.384962,17.6135708653803,0.221105,7.396984,9.60804,10,22.1105,100,100,100,13.8770310510814,1.603015,4,5.391959,8.83417,60.804,100,100,100,10.2463184000299,3.276381,10,10,10,100,100,100,100
E01026014,East Midlands,E07000136,Boston,791.652925,20.0930475417055,0,6.256375,9.265771,10,0,100,100,100,18.2288057328244,0.398657,4,5.197315,7.398657,26.5771,100,100,100,11.3960130860941,3.398657,9.625503,10,10,100,100,100,100
E01026015,East Midlands,E07000136,Boston,600.381077,19.1956035417431,0,7.39646,9.39469,10,0,100,100,100,13.3399413246309,2.38938,4,5,8.39469,100,100,100,100,9.87978478622685,4,10,10,10,100,100,100,100
E01026016,East Midlands,E07000136,Boston,1048.807298,13.2335452337884,1.224924,3.086119,7.671732,8.158054,71.4285,100,100,100,11.9326299623097,0.594731,2.409321,6.170212,9.594731,59.4731,100,100,100,7.57681988276378,4.513677,10,10,10,100,100,100,100
E01026017,East Midlands,E07000136,Boston,636.510204,25.9350320398078,0,1.016694,4.041736,9.470784,0,66.1101,100,100,16.0414921927209,0.470784,1.801335,5.686143,10,47.0784,100,100,100,8.9051848558747,3.081803,10,10,10,100,100,100,100
E01026018,East Midlands,E07000136,Boston,666.263603,15.3616940928232,0.507177,5.939393,10,10,34.9282,100,100,100,17.0143963018867,0.45295,4.907496,7.247208,9.247208,45.295,100,100,100,9.0557737968172,5.703349,10,10,10,100,100,100,100
E01026019,East Midlands,E07000136,Boston,941.48254,10.5564111877951,1.12641,5.345372,9.146726,9.146726,90.5191,90.5191,100,100,8.46942239997606,0.905191,4.066591,7.12641,8.905191,90.5191,100,100,100,7.16196140479141,4.603837,10,10,10,100,100,100,100
E01026020,East Midlands,E07000136,Boston,898.977684,12.1374257420244,1.271867,5.925531,8.900709,10,81.6784,81.6784,100,100,9.11643310673103,0.816784,4.470449,7.300236,9,81.6784,100,100,100,6.99469271964355,5.170212,10,10,10,100,100,100,100
E01026021,East Midlands,E07000136,Boston,786.339819,10.9987848219983,2.46081,8.782432,9.785135,10,70.9459,100,100,100,9.3639020313786,3.348648,4,5,9,100,100,100,100,8.29916939342035,3.827027,10,10,10,100,100,100,100
E01026022,East Midlands,E07000136,Boston,805.467003,15.1730404685059,0.522427,7.437994,10,10,26.1213,100,100,100,11.9907695326296,2.100263,4,5,9,100,100,100,100,9.84603899891811,3.469656,10,10,10,100,100,100,100
E01026023,East Midlands,E07000136,Boston,560.001465,16.547370042207,0.417457,1,8.020872,9.833017,41.7457,100,100,100,17.2358384534116,0.174573,1,1,3.349146,17.4573,100,100,100,9.52591209551354,1,9.833017,10,10,100,100,100,100
E01026024,East Midlands,E07000136,Boston,818.21846,23.4738256048387,0.625974,0.774025,5.876623,6.633766,62.5974,62.5974,87.1428,100,12.127092284541,0.625974,1,1.374025,5.50909,62.5974,100,100,100,8.43656762761454,1,9.497402,10,10,100,100,100,100
E01026025,East Midlands,E07000136,Boston,976.549046,7.13225312374043,5.033732,9.363438,10,10,100,100,100,100,7.54509074973368,4,4.892274,5.122959,8.708378,100,100,100,100,7.02373223514242,4,10,10,10,100,100,100,100
E01026026,East Midlands,E07000136,Boston,843.721373,12.580341920498,1.159949,8.241813,10,10,100,100,100,100,11.3899701997438,3.4534,4,5,8.61335,100,100,100,100,8.9787209992605,4,10,10,10,100,100,100,100
E01026027,East Midlands,E07000136,Boston,772.525742,11.4509172755613,2.348005,7.291609,10,10,100,100,100,100,10.7409383853698,3.497936,4,5,8,100,100,100,100,8.10085877785627,4,10,10,10,100,100,100,100
E01026028,East Midlands,E07000136,Boston,833.095158,12.0077960490927,1.808673,9.081632,10,10,84.6938,100,100,100,9.82663311353087,3.672193,4,5,9,100,100,100,100,8.40646295349964,4,10,10,10,100,100,100,100
E01026029,East Midlands,E07000136,Boston,919.16749,20.9319109781497,0.228901,5.854335,9.885549,10,11.445,100,100,100,13.0395274657989,2.057803,5,6.54104,7.228901,100,100,100,100,9.85058414598091,5.11445,10,10,10,100,100,100,100
E01026030,East Midlands,E07000136,Boston,1038.181086,8.21368622886891,5.084953,9.204708,10,10,100,100,100,100,8.24218546654902,4,5,5.351074,8,100,100,100,100,8.60787416274856,4,10,10,10,100,100,100,100
E01026031,East Midlands,E07000136,Boston,608.882049,12.2246661942282,2.064572,7.837696,10,10,100,100,100,100,10.0916690705456,3.61082,4,5,8,100,100,100,100,9.18318420290469,4,10,10,10,100,100,100,100
E01026032,East Midlands,E07000136,Boston,799.091275,9.68427824955947,3.611702,9.131648,10,10,100,100,100,100,8.26817205941688,4,4.30851,5.198138,8,100,100,100,100,8.45952519256505,4,10,10,10,100,100,100,100
E01026033,East Midlands,E07000136,Boston,757.649041,28.9487423769697,0.138849,1.743338,7.897615,8.6115,13.8849,50.3506,86.115,86.115,28.3363385819518,0.356241,0.642356,3.260869,8.72791,35.6241,50.3506,68.1626,100,13.8647515918855,1.657784,10,10,10,50.3506,100,100,100
E01026034,East Midlands,E07000136,Boston,804.404382,12.7543788300836,0.558784,1.841479,7.451783,10,55.8784,100,100,100,9.13507559943664,1,1.875825,5.78996,10,100,100,100,100,7.30872403891306,3.402906,10,10,10,100,100,100,100
E01026035,East Midlands,E07000136,Boston,870.286908,14.1835627593857,0.714285,9.064713,10,10,71.4285,100,100,100,11.6315877089026,3,5,6.532356,7.532356,100,100,100,100,9.95941989828325,4.87912,10,10,10,100,100,100,100
E01026036,East Midlands,E07000136,Boston,666.263603,5.2975134264232,4.502392,9.614035,10,10,100,100,100,100,7.34232560520397,4,4.157894,5,9,100,100,100,100,7.43937157816329,4,10,10,10,100,100,100,100
E01026037,East Midlands,E07000136,Boston,595.067971,9.46874058425875,4.633928,8.905357,10,10,100,100,100,100,8.48322701513917,4,4,5,9,100,100,100,100,8.70686721204217,4,10,10,10,100,100,100,100
E01026038,East Midlands,E07000136,Boston,522.809717,13.5543534072389,1.197154,7.243902,10,10,75.2032,100,100,100,11.7949530409875,3.445121,4,5,9,100,100,100,100,9.68338015591987,4,10,10,10,100,100,100,100
E01026039,East Midlands,E07000136,Boston,523.872339,15.5160166864947,0.488843,9.511156,10,10,48.8843,100,100,100,15.3620247943342,0,5,7,8.488843,0,100,100,100,9.96904144917638,6.241379,10,10,10,100,100,100,100
E01026040,East Midlands,E07000136,Boston,505.807776,20.1199386700372,0,6.85084,10,10,0,100,100,100,15.5844793706722,0.936974,5,7,8.254201,46.8487,100,100,100,9.70559715457934,6,10,10,10,100,100,100,100
E01026041,East Midlands,E07000136,Boston,602.50632,13.8031874683987,1.067019,9.611992,10,10,65.0793,100,100,100,16.7755843840242,0,5,7,9,0,100,100,100,9.03954034832607,6.382716,10,10,10,100,100,100,100
E01026042,East Midlands,E07000137,East Lindsey,668.976844,6.51016013886439,1,3,9.342465,10,100,100,100,100,7.13762744437475,1,1,1.354642,5.196347,100,100,100,100,6.47076507084169,1,10,10,10,100,100,100,100
E01026043,East Midlands,E07000137,East Lindsey,626.211201,6.8018441051907,1,2.614634,8.268292,10,100,100,100,100,7.20828975113829,1,1,1,5.02439,100,100,100,100,6.41075028563184,1,10,10,10,100,100,100,100
E01026044,East Midlands,E07000137,East Lindsey,536.606996,17.7904467721174,0.239089,2.829222,6.039848,7.979127,23.9089,80.0759,100,100,20.0428141276515,0.239089,1,2.352941,4.59203,23.9089,100,100,100,10.5494192411717,1.19924,8.895635,10,10,100,100,100,100
E01026045,East Midlands,E07000137,East Lindsey,789.127935,16.2765279321577,0.503225,3.747096,8.246451,9.187096,50.3225,91.8709,91.8709,91.8709,16.0367909898371,0.503225,2.125161,4.458064,8.469677,50.3225,91.8709,100,100,9.06466034756563,3.427096,10,10,10,91.8709,100,100,100
E01026046,East Midlands,E07000137,East Lindsey,501.98719,12.0964622067524,0.96146,2.705882,7.411764,10,70.5882,100,100,100,10.0747733404656,1,2.255578,5,7,100,100,100,100,7.87500844642896,2.705882,9.411764,10,10,100,100,100,100
E01026047,East Midlands,E07000137,East Lindsey,572.245032,7.75858177699935,1,2.585409,7.13879,10,100,100,100,100,7.98156350817438,1,1.430604,4.631672,7.19217,100,100,100,100,6.71107178133981,2.395017,10,10,10,100,100,100,100
E01026048,East Midlands,E07000137,East Lindsey,746.362293,9.29594596548464,0.864938,2.362892,7.197817,10,86.4938,100,100,100,8.63364546944927,1,2,2.135061,6.683492,100,100,100,100,7.04862894411533,1.802182,8.135061,10,10,100,100,100,100
E01026049,East Midlands,E07000137,East Lindsey,732.107079,18.8274345478875,0.182197,1.801112,5.012517,6.563282,18.2197,73.8525,100,100,16.0390928519924,0.182197,1.368567,2.447844,6.294853,18.2197,100,100,100,10.2010637823658,1.324061,8.477051,10,10,100,100,100,100
E01026050,East Midlands,E07000137,East Lindsey,729.052389,8.97049749071712,1,2.138268,7.417597,10,100,100,100,100,8.20491823081105,1,2,2.138268,7,100,100,100,100,6.83590690344947,1.822625,8,10,10,100,100,100,100
E01026051,East Midlands,E07000137,East Lindsey,521.333553,10.6271547621379,1.142578,1.832031,4.800781,9.832031,91.6015,91.6015,100,100,9.91701351703701,0.916015,1.916015,4.832031,7.832031,91.6015,100,100,100,7.10009989960618,3.638671,10,10,10,100,100,100,100
E01026052,East Midlands,E07000137,East Lindsey,509.114798,9.64668345116367,1.802,2.58,7.174,10,100,100,100,100,11.2510419968463,0.802,1,4.208,6.58,80.2,100,100,100,8.39180383014412,1.802,10,10,10,100,100,100,100
E01026053,East Midlands,E07000137,East Lindsey,753.4899,15.5567550504908,0.672972,3.629729,5.872972,10,47.027,100,100,100,11.5128477770235,1,1.82027,5,6.408108,100,100,100,100,8.15348350912267,4.081081,10,10,10,100,100,100,100
E01026054,East Midlands,E07000137,East Lindsey,793.200855,8.20798681528526,1.745827,3.693196,7.745827,9.872913,87.2913,100,100,100,8.806236799558,1,1.346598,5,6.399229,100,100,100,100,7.09616665777407,3.16688,10,10,10,100,100,100,100
E01026055,East Midlands,E07000137,East Lindsey,514.205945,36.6436416244856,0,0.697029,0.950495,1.146534,0,69.7029,82.3762,82.3762,23.5176301539108,0,1.249504,3.077227,4.950495,0,100,100,100,11.7203388467145,1.768316,9.697029,10,10,100,100,100,100
E01026056,East Midlands,E07000137,East Lindsey,478.567909,19.345983121334,0.991489,1.931914,5.038297,9.157446,51.0638,100,100,100,15.6540597931952,0.510638,2.691489,3.961702,5.451063,51.0638,100,100,100,8.79281194801005,3.17234,8.738297,10,10,100,100,100,100
E01026057,East Midlands,E07000137,East Lindsey,790.146165,26.0010753808125,0.279639,2.556701,6.472938,8.518041,27.9639,85.1804,85.1804,85.1804,29.32628228228,0.059278,1.248711,3.652061,7.103092,5.9278,65.2061,100,100,13.7583868081962,1.155927,10,10,10,65.2061,100,100,100
E01026058,East Midlands,E07000137,East Lindsey,924.552472,16.8908032643773,0.523127,2.198237,5.805066,5.914096,52.3127,91.4096,100,100,12.6125498800226,0.805066,1,4.085903,5.787444,80.5066,100,100,100,9.91577559633826,2.106828,9.914096,10,10,91.4096,100,100,100
E01026059,East Midlands,E07000137,East Lindsey,366.562654,26.6382379835027,0,0.7,4.675,9.724999,0,70,100,100,16.4315803936673,0.275,1,2,4.299999,27.5,100,100,100,9.67409631450213,1,10,10,10,100,100,100,100
E01026060,East Midlands,E07000137,East Lindsey,575.299721,28.3901654755881,0,1.350442,1.897345,5.375221,0,80.3539,80.3539,100,25.3974376368002,0,1.19646,2.707964,4.161061,0,100,100,100,11.8619518308776,1.99823,10,10,10,100,100,100,100
E01026061,East Midlands,E07000137,East Lindsey,482.640828,12.1951793255977,1,4.873417,10,10,100,100,100,100,11.006263940666,1,5,10,10,100,100,100,100,8.23383212193834,5,10,10,10,100,100,100,100
E01026062,East Midlands,E07000137,East Lindsey,472.458532,10.1333984664262,1,5.870689,10,10,100,100,100,100,8.52022096638773,1,5,10,10,100,100,100,100,7.10100250560141,5,10,10,10,100,100,100,100
E01026063,East Midlands,E07000137,East Lindsey,565.117425,14.1688546030668,0.745945,5.01081,10,10,74.5945,100,100,100,10.4446599396861,1.515315,6.803603,10,10,100,100,100,100,7.69837286724675,6.299099,10,10,10,100,100,100,100
E01026064,East Midlands,E07000137,East Lindsey,618.065364,16.1753324002799,0.210873,3,6.851729,9.281713,21.0873,100,100,100,10.0274107728161,1,1,5.789126,7,100,100,100,100,8.28251230608257,1,10,10,10,100,100,100,100
E01026065,East Midlands,E07000137,East Lindsey,791.164395,12.0549620801733,0.662805,1.790218,6.602316,9.696267,66.2805,100,100,100,8.79470181542641,1,1.362934,4.568854,7,100,100,100,100,7.20949619072101,1.687258,10,10,10,100,100,100,100
E01026066,East Midlands,E07000137,East Lindsey,770.799803,19.5569486016486,0,1.155878,6.313077,10,0,100,100,100,11.9114858137118,0.850726,1,3.585204,6.715984,85.0726,100,100,100,9.33647289356815,1.56671,10,10,10,100,100,100,100
E01026067,East Midlands,E07000137,East Lindsey,899.096732,10.7204020618557,0.804077,3.364665,7.718006,10,80.4077,100,100,100,8.39366992257305,1,1,5.142695,7,100,100,100,100,7.47100525762617,1.804077,10,10,10,100,100,100,100
E01026068,East Midlands,E07000137,East Lindsey,993.792086,31.4525713607373,0.08709,1.110655,3.590163,6.178278,8.709,65.6762,84.4262,84.4262,23.6302293903045,0.199795,0.73668,1.987704,5.345286,19.9795,73.668,100,100,11.8170705753883,1.040983,10,10,10,89.8565,100,100,100
E01026069,East Midlands,E07000137,East Lindsey,891.969126,15.6530249845869,0.72831,3.908675,7.317351,9.841324,72.831,100,100,100,11.2858084250414,1,2.430365,5,5.543378,100,100,100,100,8.53844457369479,2.384703,9,10,10,100,100,100,100
E01026070,East Midlands,E07000137,East Lindsey,820.693054,26.3439192522048,0,2.6799,3.712158,5.153846,0,76.799,85.9801,100,23.5225245375408,0.249379,2.926799,4,6.016129,8.3126,87.7171,100,100,11.5213737957462,3.263027,10,10,10,100,100,100,100
E01026071,East Midlands,E07000137,East Lindsey,1060.995237,59.8738736789347,0.193857,1.111324,2.565259,3.452975,19.3857,45.6813,45.6813,45.6813,26.799832710376,0.193857,0.985604,2.553742,5.980806,19.3857,59.7888,100,100,12.0703250045174,1.270633,10,10,10,69.2898,100,100,100
E01026072,East Midlands,E07000137,East Lindsey,831.893579,8.34250487329435,0.851897,3.592411,5.689106,9.592411,85.1897,100,100,100,7.78313838436357,1,2,2,3,100,100,100,100,7.05549716066431,2,5.587515,10,10,100,100,100,100
E01026073,East Midlands,E07000137,East Lindsey,845.130564,10.6464683690732,1,3,5.834939,9.59518,100,100,100,100,8.4969886350809,1,2,2,3,100,100,100,100,7.65221999087868,2,5.715662,10,10,100,100,100,100
E01026074,East Midlands,E07000137,East Lindsey,929.64362,14.2898239103617,0.396495,2.396495,5.11391,7.786418,39.6495,100,100,100,11.1105127190752,1,2,2,3,100,100,100,100,8.84976897424283,1.659364,5,10,10,100,100,100,100
E01026075,East Midlands,E07000137,East Lindsey,932.698309,14.6259157849319,0.958515,1.584061,4.287117,9.266375,80.0218,90.8296,90.8296,100,15.7384384536481,0.553493,0.983624,2.802401,6.510917,55.3493,89.1921,100,100,8.57783432386734,1.891921,10,10,10,100,100,100,100
