LSOA_code,Region,LA_Code,LA_Name,Hosp_pop,HospPTt,HospPT15n,HospPT30n,HospPT45n,HospPT60n,HospPT15pct,HospPT30pct,HospPT45pct,HospPT60pct,HospCyct,HospCyc15n,HospCyc30n,HospCyc45n,HospCyc60n,HospCyc15pct,HospCyc30pct,HospCyc45pct,HospCyc60pct,HospCart,HospCar15n,HospCar30n,HospCar45n,HospCar60n,HospCar15pct,HospCar30pct,HospCar45pct,HospCar60pct
E01026006,East Midlands,E07000136,Boston,1179,21.8596941445646,0,1,1,1.63528413910093,0,100,100,100,18.6550498220641,0,1,1,1,0,91.2637828668363,91.2637828668363,91.2637828668363,14.2953274021352,1,1,2,6.61577608142494,91.2637828668363,91.2637828668363,91.2637828668363,91.2637828668363
E01026007,East Midlands,E07000136,Boston,486,23.9925258926221,0,1,1,1,0,100,100,100,28.1630102516309,0,1,1,1,0,91.5637860082305,91.5637860082305,91.5637860082305,14.5156197576887,0.759259259259259,1,2,3,67.4897119341564,91.5637860082305,91.5637860082305,91.5637860082305
E01026008,East Midlands,E07000136,Boston,541,51.0350927250656,0,0.739371534195933,0.739371534195933,0.739371534195933,0,73.9371534195933,73.9371534195933,73.9371534195933,29.0388453608247,0,0.739371534195933,1,1,0,73.9371534195933,100,100,14.9940206185567,0.739371534195933,1,2,3.00924214417745,73.9371534195933,100,100,100
E01026009,East Midlands,E07000136,Boston,530,31.9730090273105,0,0.445283018867925,1,1.50188679245283,0,44.5283018867925,100,100,35.9705853658537,0,0,1,1,0,0,91.3207547169811,91.3207547169811,15.8574634146341,0.445283018867925,1,2,3,44.5283018867925,91.3207547169811,91.3207547169811,91.3207547169811
E01026010,East Midlands,E07000136,Boston,648,31.9230207638167,0,0,1,1,0,0,100,100,20.9637839586028,0,1,1,1,0,100,100,100,15.3486351875809,0,1,2,5,0,100,100,100
E01026011,East Midlands,E07000136,Boston,1140,28.8537548565474,0,0.65,1,1.38245614035088,0,65,100,100,19.2730568948891,0,1,1,1,0,90.6140350877193,90.6140350877193,90.6140350877193,14.6163709418193,0.65,1,2,5,57.9824561403509,90.6140350877193,90.6140350877193,90.6140350877193
E01026012,East Midlands,E07000136,Boston,563,24.1961067429991,0,1,1,1,0,100,100,100,18.2970691163605,0,1,1,1,0,100,100,100,12.2246981627297,1,1,2,5,100,100,100,100
E01026013,East Midlands,E07000136,Boston,640,22.0001661247861,0,1,1,1,0,100,100,100,15.512124567474,0.425,1,1,1,37.03125,95.78125,95.78125,95.78125,12.2787958477509,1,1,2,4.70625,95.78125,95.78125,95.78125,95.78125
E01026014,East Midlands,E07000136,Boston,819,32.6526492334495,0,0.211233211233211,1,1,0,21.1233211233211,100,100,23.2265084226646,0,1,1,1,0,93.4065934065934,93.4065934065934,93.4065934065934,14.7159928534967,0.84981684981685,1,2,3.87912087912088,80.9523809523809,93.4065934065934,93.4065934065934,93.4065934065934
E01026015,East Midlands,E07000136,Boston,659,31.21563637591,0,0.585735963581184,1,1,0,58.5735963581184,100,100,18.8018003913894,0,1,1,1,0,88.0121396054628,88.0121396054628,88.0121396054628,14.0175799086758,0.776934749620637,1,2,5,72.5341426403642,88.0121396054628,88.0121396054628,88.0121396054628
