LSOA_code,Region,LA_Code,LA_Name,GP_pop,GPPTt,GPPT15n,GPPT30n,GPPT45n,GPPT60n,GPPT15pct,GPPT30pct,GPPT45pct,GPPT60pct,GPCyct,GPCyc15n,GPCyc30n,GPCyc45n,GPCyc60n,GPCyc15pct,GPCyc30pct,GPCyc45pct,GPCyc60pct,GPCart,GPCar15n,GPCar30n,GPCar45n,GPCar60n,GPCar15pct,GPCar30pct,GPCar45pct,GPCar60pct
E01026006,East Midlands,E07000136,Boston,1107.3854,6.52696571326974,3.532951,7.133715,10,10,100,100,100,100,7.190775898612,5,6,7.117478,9.148997,100,100,100,100,6.93361275324906,5.528175,10,10,10,100,100,100,100
E01026007,East Midlands,E07000136,Boston,457.973141,21.6692848205567,0,2.295612,6,7,0,100,100,100,28.8845795680884,0,1,6,7,0,100,100,100,13.4602326613206,1,8,10,10,100,100,100,100
E01026008,East Midlands,E07000136,Boston,557.394562,54.5147685244463,0,4.098671,5.180265,5.180265,0,74.0037,74.0037,74.0037,29.3542025268314,0,3.187855,6,7.269449,0,74.0037,100,100,15.1496970260882,1.878557,8.86907,10,10,74.0037,100,100,100
E01026009,East Midlands,E07000136,Boston,498.164779,18.6025311386931,0.248407,2.783439,5.369426,7.038216,24.8407,100,100,100,19.869253031149,0,1,4.766454,7.488322,0,100,100,100,9.94573433745452,1,8.549893,10,10,100,100,100,100
E01026010,East Midlands,E07000136,Boston,667.39273,16.7108927594156,0,5,7,10,0,100,100,100,11.6173213093865,5,5,6,9,100,100,100,100,9.83346942462483,5,10,10,10,100,100,100,100
E01026011,East Midlands,E07000136,Boston,1062.963064,16.0307708652852,1.338308,4.664676,8.665671,10,54.1293,100,100,100,10.1568656832498,4.546268,5,6,9.098507,100,100,100,100,9.02571253384836,5,10,10,10,100,100,100,100
E01026012,East Midlands,E07000136,Boston,580.663405,19.6928449073406,0,5.530054,6.253187,8.506375,0,100,100,100,14.6687834273063,1.043715,5,6.746812,10,53.734,100,100,100,10.5682776217391,5,10,10,10,100,100,100,100
E01026013,East Midlands,E07000136,Boston,631.431789,18.9320582490949,0.221105,4.341708,7.21608,9.050251,22.1105,100,100,100,14.199937497256,1.603015,5,6.391959,9.83417,60.804,100,100,100,10.7512266465714,4.502512,9.83417,10,10,100,100,100,100
E01026014,East Midlands,E07000136,Boston,787.967644,21.0922244935994,0,3.226845,6.265771,8.398657,0,100,100,100,18.204861835649,0.398657,5,6.197315,8.398657,26.5771,100,100,100,11.1465430675536,3.797315,10,10,10,100,100,100,100
E01026015,East Midlands,E07000136,Boston,597.5862,20.3346754730323,0,4.18407,6.39469,9.607079,0,100,100,100,13.3447459135025,2.38938,5,6,9.39469,100,100,100,100,9.85712537765503,5,10,10,10,100,100,100,100
E01026016,East Midlands,E07000136,Boston,1043.924921,13.5879417474095,0.714285,2.104356,5.888551,7.914893,71.4285,100,100,100,12.7481763055415,0.594731,2.004052,5.560283,9.309017,59.4731,100,100,100,8.04649590462433,3.513677,10,10,10,100,100,100,100
E01026017,East Midlands,E07000136,Boston,633.547139,27.0497227341455,0,0.63606,3.140233,6.479131,0,47.0784,100,100,16.120515395961,0.470784,1.801335,5.545909,10,47.0784,100,100,100,9.2699291726043,2.776293,10,10,10,100,100,100,100
E01026018,East Midlands,E07000136,Boston,663.162031,16.5917868903774,0.507177,3.491228,7.960127,9.752791,34.9282,100,100,100,16.7200231215663,0.45295,5.468899,8,9.247208,45.295,100,100,100,8.9744129071972,6.259968,10,10,10,100,100,100,100
E01026019,East Midlands,E07000136,Boston,937.099775,10.6486676994745,1.12641,3.808126,8.574492,9.146726,90.5191,90.5191,100,100,8.50153440131439,0.905191,4.638826,8.12641,9,90.5191,100,100,100,7.25161234602533,3.698645,10,10,10,100,100,100,100
E01026020,East Midlands,E07000136,Boston,894.792787,11.7428705013715,1.271867,4.526004,8.900709,10,81.6784,81.6784,100,100,8.98322672037943,0.816784,4.991725,8.117021,9,81.6784,100,100,100,7.02610121518977,5.208037,10,10,10,100,100,100,100
E01026021,East Midlands,E07000136,Boston,782.67927,12.2394013585444,0.924324,5.96081,9.882432,10,70.9459,100,100,100,9.82985955647892,4.764864,5,6,10,100,100,100,100,8.75318878834468,5,10,10,10,100,100,100,100
E01026022,East Midlands,E07000136,Boston,801.717415,18.3629546303015,0,4.352242,8.403693,10,0,100,100,100,12.5900742228215,2.100263,5,6,10,100,100,100,100,10.4214029562223,4.514511,10,10,10,100,100,100,100
E01026023,East Midlands,E07000136,Boston,557.394562,16.620267698007,0.417457,1,4.703984,7.666034,41.7457,100,100,100,17.2899788587004,0.174573,1,1,2.349146,17.4573,100,100,100,9.50319242174983,1,8.666034,10,10,100,100,100,100
E01026024,East Midlands,E07000136,Boston,814.409512,22.6038350734692,0.625974,0.774025,4.001298,4.903896,62.5974,62.5974,87.1428,100,11.8835079060492,0.625974,1,1.374025,6.263636,62.5974,100,100,100,8.512891424058,1,8.368831,10,10,100,100,100,100
E01026025,East Midlands,E07000136,Boston,972.00304,7.94293282940043,3.008705,6.486398,9.784548,10,100,100,100,100,7.6670590867093,5,5.892274,6.122959,9.708378,100,100,100,100,7.48024033048245,5,10,10,10,100,100,100,100
E01026026,East Midlands,E07000136,Boston,839.793705,13.0629373243741,0.971032,5.439546,9,10,81.1083,100,100,100,11.0042495400484,4.284634,5,6,9.61335,100,100,100,100,8.99800687803189,5,10,10,10,100,100,100,100
E01026027,East Midlands,E07000136,Boston,768.929501,12.2164068728806,1.580467,5,8.359009,10,81.568,100,100,100,10.7582084110633,3.811554,5,6,9,100,100,100,100,8.07539476013859,5,10,10,10,100,100,100,100
E01026028,East Midlands,E07000136,Boston,829.216957,13.4370046391657,1.242346,5.849489,9.232142,10,84.6938,100,100,100,10.0630256700205,4.693877,5,6,10,100,100,100,100,9.01264422776049,5,10,10,10,100,100,100,100
E01026029,East Midlands,E07000136,Boston,914.888607,21.7390590598968,0.228901,4.083236,7.954913,10,11.445,100,100,100,12.9809411646368,2.357225,6,7.54104,8.299421,100,100,100,100,9.621955978377,5.885549,10,10,10,100,100,100,100
E01026030,East Midlands,E07000136,Boston,1033.348173,9.25203898670843,3.336745,5.45957,9.616171,10,100,100,100,100,8.22828637574789,5,6,6.351074,9,100,100,100,100,8.40339551961219,5,10,10,10,100,100,100,100
E01026031,East Midlands,E07000136,Boston,606.047598,15.1830883122584,0.994764,5,8.783595,10,61.082,100,100,100,10.1545179280894,4.61082,5,6,9,100,100,100,100,9.06383001474778,5,10,10,10,100,100,100,100
E01026032,East Midlands,E07000136,Boston,795.371367,9.53096936957724,2.638297,5.511968,9.847074,10,100,100,100,100,8.24618208322955,5,5.30851,6.198138,9,100,100,100,100,7.80155921735896,5,10,10,10,100,100,100,100
E01026033,East Midlands,E07000136,Boston,754.122054,30.2102448173107,0.138849,0.650771,5.607293,5.932678,13.8849,50.3506,86.115,86.115,28.2070724702745,0.356241,0.503506,3.00561,9.046283,35.6241,50.3506,68.1626,100,13.7031206707757,1.154277,10,10,10,50.3506,100,100,100
E01026034,East Midlands,E07000136,Boston,800.659741,12.6988039352506,0.558784,1,4.768824,7.911492,55.8784,100,100,100,9.10769980533282,1,1.15852,5.262879,10,100,100,100,100,7.27221315467143,2.402906,10,10,10,100,100,100,100
E01026035,East Midlands,E07000136,Boston,866.235571,16.5304809882469,0,6.140415,8.714285,10,0,100,100,100,11.5942397467869,4,6,7.532356,8.181929,100,100,100,100,9.4652448851628,5.532356,10,10,10,100,100,100,100
E01026036,East Midlands,E07000136,Boston,663.162031,5.3591443592482,2.488038,6.422647,10,10,100,100,100,100,7.72602623641647,5,5.157894,6,10,100,100,100,100,7.79920204912271,5,10,10,10,100,100,100,100
E01026037,East Midlands,E07000136,Boston,592.297826,9.5974418644932,3.551785,5.644642,9.4375,10,100,100,100,100,8.96547454232168,5,5,6,10,100,100,100,100,8.95229420850743,5,10,10,10,100,100,100,100
E01026038,East Midlands,E07000136,Boston,520.375947,13.6954073173671,1.154471,5,6.932926,10,75.2032,100,100,100,12.2571664874126,4.693089,5,6,10,100,100,100,100,10.0948017214216,5,10,10,10,100,100,100,100
E01026039,East Midlands,E07000136,Boston,521.433622,16.4804334219297,0.247464,7,9.488843,10,24.7464,100,100,100,15.2270502066612,0.247464,6,8,8.488843,24.7464,100,100,100,9.87872507095337,7,10,10,10,100,100,100,100
E01026040,East Midlands,E07000136,Boston,503.453153,20.3277745497466,0,5.15126,7.983193,9.722689,0,100,100,100,15.4433306033681,0.936974,6,8,8.254201,46.8487,100,100,100,9.54269702191331,7,10,10,10,100,100,100,100
E01026041,East Midlands,E07000136,Boston,599.70155,13.9903582080066,1.067019,6.820105,9.208112,10,65.0793,100,100,100,16.7885088802081,0,6,8,9,0,100,100,100,9.17581145892367,7.208112,10,10,10,100,100,100,100
E01026042,East Midlands,E07000137,East Lindsey,675.95794,6.47473310013658,1,1,3,5.799086,100,100,100,100,7.1812413008473,1,1,1,3,100,100,100,100,6.51410671847326,1,10,10,10,100,100,100,100
E01026043,East Midlands,E07000137,East Lindsey,632.746017,6.75999443885097,1,1,3,4.453658,100,100,100,100,7.21054207524763,1,1,1,3,100,100,100,100,6.56728964882473,1,9.839024,10,10,100,100,100,100
E01026044,East Midlands,E07000137,East Lindsey,542.206749,21.7966644958395,0.239089,1.227703,2.239089,4.204933,23.9089,80.0759,100,100,22.8650111113288,0.239089,0.647058,1,2.239089,23.9089,64.7058,100,100,11.9991183103138,0.647058,5.026565,10,10,64.7058,100,100,100
E01026045,East Midlands,E07000137,East Lindsey,797.362867,16.7063706360837,0.503225,2.037419,5.220645,7.477419,50.3225,91.8709,91.8709,91.8709,16.06267224515,0.503225,1.494193,2.745806,4.752258,50.3225,91.8709,100,100,9.20861825327719,2.037419,10,10,10,91.8709,100,100,100
E01026046,East Midlands,E07000137,East Lindsey,507.225668,17.9043396567377,0.255578,1,4,4.96146,25.5578,100,100,100,27.0497344764918,0,1.255578,2,3,0,100,100,100,12.6279307720934,1.705882,5.661257,10,10,100,100,100,100
E01026047,East Midlands,E07000137,East Lindsey,578.216685,20.497687721725,0,1.19217,4,4.962633,0,100,100,100,30.2425183879748,0,0.430604,2,3.19217,0,43.0604,100,100,13.7218829713313,1.430604,6.781138,10,10,100,100,100,100
