LSOA_code,Region,LA_Code,LA_Name,Hosp_pop,HospPTt,HospPT15n,HospPT30n,HospPT45n,HospPT60n,HospPT15pct,HospPT30pct,HospPT45pct,HospPT60pct,HospCyct,HospCyc15n,HospCyc30n,HospCyc45n,HospCyc60n,HospCyc15pct,HospCyc30pct,HospCyc45pct,HospCyc60pct,HospCart,HospCar15n,HospCar30n,HospCar45n,HospCar60n,HospCar15pct,HospCar30pct,HospCar45pct,HospCar60pct
E01026029,East Midlands,E07000136,Boston,919.16749,41.5707876107306,0,0,0.64393,1,0,0,64.393,100,24.0847709643745,0,1,1,1,0,100,100,100,17.3892860249034,0,1,1,6.96763,0,100,100,100
E01026030,East Midlands,E07000136,Boston,1038.181086,25.935790659619,0,1,1,2,0,100,100,100,19.5749613281821,0,1,1,1,0,100,100,100,15.5863182548763,0.351074,1,1.351074,5,35.1074,100,100,100
E01026031,East Midlands,E07000136,Boston,608.882049,31.3986512592861,0,0.226876,1,1.172774,0,22.6876,100,100,21.3899533064248,0,1,1,1,0,100,100,100,16.1776370524723,0,1,1,5,0,100,100,100
E01026032,East Midlands,E07000136,Boston,799.091275,25.629321061195,0,1,1,2,0,100,100,100,19.4951330567131,0,1,1,1,0,100,100,100,16.1702327085243,0,1,1,5.198138,0,100,100,100
E01026033,East Midlands,E07000136,Boston,757.649041,52.4954969549276,0,0,0.357643,0.86115,0,0,35.7643,86.115,56.4484586348156,0,0,0.17812,0.820476,0,0,17.812,82.0476,26.9926974478406,0,1,1.503506,7.053295,0,100,100,100
E01026034,East Midlands,E07000136,Boston,804.404382,56.1629908102137,0,0,0,0.841479,0,0,0,84.1479,56.8234926994132,0,0,0,1,0,0,0,100,26.0591920486068,0,1,2,9,0,100,100,100
E01026035,East Midlands,E07000136,Boston,870.286908,30.4503729507508,0,0.532356,1,1,0,53.2356,100,100,23.7061091975162,0,1,1,1,0,100,100,100,17.9620650330482,0,1,1,6.261294,0,100,100,100
E01026036,East Midlands,E07000136,Boston,666.263603,19.942476073346,0,1,1,1.558213,0,100,100,100,14.954350126289,0.636363,1,1,1,63.6363,100,100,100,12.2916219795301,1,1,2,5,100,100,100,100
E01026037,East Midlands,E07000136,Boston,595.067971,25.4266294644291,0,1,1,1.823214,0,100,100,100,16.3432273864746,0,1,1,1,0,100,100,100,14.3099999326214,1,1,2,4.823214,100,100,100,100
E01026038,East Midlands,E07000136,Boston,522.809717,35.0429597673386,0,0.243902,1,1,0,24.3902,100,100,19.4426864983508,0,1,1,1,0,100,100,100,13.0676401612172,1,1,2,4.201219,100,100,100,100
E01026039,East Midlands,E07000136,Boston,523.872339,35.7492395133026,0,0,1,1,0,0,100,100,26.6929340299496,0,1,1,1,0,100,100,100,17.9297357023255,0,1,1,7.511156,0,100,100,100
E01026040,East Midlands,E07000136,Boston,505.807776,43.0100766688722,0,0,0.722689,1,0,0,72.2689,100,26.6510260846312,0,1,1,1,0,100,100,100,17.6017081799587,0,1,1,6.468487,0,100,100,100
E01026041,East Midlands,E07000136,Boston,602.50632,37.8368048333726,0,0,1,1,0,0,100,100,28.5230450116339,0,1,1,1,0,100,100,100,18.1241440129801,0,1,1,6.557319,0,100,100,100
E01026042,East Midlands,E07000137,East Lindsey,668.976844,40.9295959585785,0,0,1,2.400304,0,0,100,100,80.96149348647,0,0,0,0,0,0,0,0,26.9816840738588,0,1.608828,3,4,0,100,100,100
E01026043,East Midlands,E07000137,East Lindsey,626.211201,42.5589935387062,0,0,0.590243,2.409756,0,0,59.0243,100,80.5389817855329,0,0,0,0,0,0,0,0,26.7717393328105,0,2,3,4,0,100,100,100
E01026044,East Midlands,E07000137,East Lindsey,536.606996,52.4774098002192,0,0,0.447817,1.282732,0,0,44.7817,83.4914,78.85231524231,0,0,0,0,0,0,0,0,29.3350035808731,0,0.800759,2.447817,4,0,80.0759,100,100
E01026045,East Midlands,E07000137,East Lindsey,789.127935,36.1304763903205,0,0.415483,1.188387,1.837419,0,41.5483,91.8709,91.8709,44.8583134884119,0,0.287741,0.496774,0.496774,0,28.7741,49.6774,49.6774,18.5858325174839,0.415483,2,2.141935,6.343225,41.5483,100,100,100
E01026046,East Midlands,E07000137,East Lindsey,501.98719,27.6187986502127,0,0.705882,1,1,0,70.5882,100,100,30.4692942483085,0,0.255578,1,1,0,25.5578,100,100,14.4104873056171,0.705882,1,3,4,70.5882,100,100,100
E01026047,East Midlands,E07000137,East Lindsey,572.245032,30.22689747868,0,0.393238,1,1,0,39.3238,100,100,33.6414106708683,0,0,1,1,0,0,100,100,15.5442465852097,0,1,3,4,0,100,100,100
E01026048,East Midlands,E07000137,East Lindsey,746.362293,32.6510280855565,0,0.181446,1,1,0,18.1446,100,100,46.6527560692362,0,0,0.135061,1,0,0,13.5061,100,22.1263345807653,0,1,2,3,0,100,100,100
E01026049,East Midlands,E07000137,East Lindsey,732.107079,53.3532691611945,0,0,0.506258,0.738525,0,0,50.6258,73.8525,53.007376369546,0,0,0,0.738525,0,0,0,73.8525,24.2603264714034,0,1,2,3,0,100,100,100
E01026050,East Midlands,E07000137,East Lindsey,729.052389,36.2373240564572,0,0,1,1,0,0,100,100,47.346864066136,0,0,0,1,0,0,0,100,22.4358689358613,0,1,2,3,0,100,100,100
E01026051,East Midlands,E07000137,East Lindsey,521.333553,49.8896263427227,0,0,0,1,0,0,0,100,79.8261303068596,0,0,0,0,0,0,0,0,28.9069713300556,0,1,2.916015,6.605468,0,100,100,100
E01026052,East Midlands,E07000137,East Lindsey,509.114798,42.9794572568407,0,0,0.778,1,0,0,77.8,100,80.8113876898416,0,0,0,0,0,0,0,0,31.12244868559,0,0,1.802,5.58,0,0,100,100
E01026053,East Midlands,E07000137,East Lindsey,753.4899,51.3188877989914,0,0,0,1,0,0,0,100,88.7942046815986,0,0,0,0,0,0,0,0,32.4680000768329,0,0,2,6,0,0,100,100
E01026054,East Midlands,E07000137,East Lindsey,793.200855,44.3441674834804,0,0,0.745827,1,0,0,74.5827,100,85.9138875727068,0,0,0,0,0,0,0,0,31.9151177531794,0,0,2,5.872913,0,0,100,100
E01026055,East Midlands,E07000137,East Lindsey,514.205945,120,0,0,0,0,0,0,0,0,56.6361035611361,0,0,0.126732,0.572277,0,0,12.6732,57.2277,24.1224151133182,0,1,3,3.823762,0,100,100,100
E01026056,East Midlands,E07000137,East Lindsey,478.567909,26.9790598005311,0.240425,0.451063,1,1,24.0425,45.1063,100,100,33.2744621130136,0,0.240425,0.721276,1,0,24.0425,72.1276,100,14.1946069097926,0.451063,1,3,3,45.1063,100,100,100
E01026057,East Midlands,E07000137,East Lindsey,790.146165,43.3933561537702,0,0.347938,0.347938,0.851804,0,34.7938,34.7938,85.1804,42.1899071173683,0,0.313144,0.661082,0.847938,0,31.3144,66.1082,84.7938,17.3440644782973,0.313144,1,2.338917,4.22036,31.3144,100,100,100
E01026058,East Midlands,E07000137,East Lindsey,924.552472,33.7389113768908,0,0,1,1,0,0,100,100,36.1871140353693,0,0,1,1,0,0,100,100,16.2402405163337,0.10903,1,2.805066,4.914096,10.903,100,100,100
E01026059,East Midlands,E07000137,East Lindsey,366.562654,49.920398843819,0,0,0.425,1,0,0,42.5,100,77.3088261866764,0,0,0,0,0,0,0,0,27.824614354202,0,1.125,3,4.7,0,70,100,100
E01026060,East Midlands,E07000137,East Lindsey,575.299721,73.3133826352819,0,0,0,0.546902,0,0,0,54.6902,81.1554717787604,0,0,0,0,0,0,0,0,26.0083649728023,0,1.292035,3,4.803539,0,100,100,100
E01026061,East Midlands,E07000137,East Lindsey,482.640828,29.7000002105926,0,0.485232,1.723628,2,0,48.5232,100,100,28.4287134038703,0,1,1,1,0,100,100,100,16.0661071074812,0,2,2,5,0,100,100,100
E01026062,East Midlands,E07000137,East Lindsey,472.458532,28.1859306296557,0,0.721982,1.721982,2,0,72.1982,100,100,28.3513853013161,0,1,1,1,0,100,100,100,15.9379695772416,0,2,2,5,0,100,100,100
E01026063,East Midlands,E07000137,East Lindsey,565.117425,28.3005134257095,0,0.745945,1,2,0,74.5945,100,100,24.9881677823421,0,1,1,1,0,100,100,100,14.7950868975683,0.518918,2,2,5,51.8918,100,100,100
E01026064,East Midlands,E07000137,East Lindsey,618.065364,65.5405191484242,0,0,0,0,0,0,0,0,88.6064873782799,0,0,0,0,0,0,0,0,28.320699428828,0,1,4,5,0,100,100,100
E01026065,East Midlands,E07000137,East Lindsey,791.164395,62.4562949121709,0,0,0,0.407979,0,0,0,40.7979,85.8044140155499,0,0,0,0,0,0,0,0,26.4250485419194,0,1,4,5,0,100,100,100
E01026066,East Midlands,E07000137,East Lindsey,770.799803,58.6289106295387,0,0,0,0.850726,0,0,0,85.0726,89.1951972279581,0,0,0,0,0,0,0,0,28.4602010859061,0,1,4,5,0,100,100,100
E01026067,East Midlands,E07000137,East Lindsey,899.096732,57.8785102627941,0,0,0,0.804077,0,0,0,80.4077,86.3486398559256,0,0,0,0,0,0,0,0,27.1342111833317,0,1,4,5,0,100,100,100
E01026068,East Midlands,E07000137,East Lindsey,993.792086,68.9370472303784,0,0,0.197745,0.846311,0,0,19.7745,66.7008,72.4503529708804,0,0,0,0.086065,0,0,0,8.6065,23.8401141849183,0,1.756147,3.140368,4.822745,0,100,100,100
E01026069,East Midlands,E07000137,East Lindsey,891.969126,26.2548912952437,0,0.841324,1,1,0,84.1324,100,100,29.3802863030076,0,0.406392,1,1,0,40.6392,100,100,16.0323903020952,0.113013,1,2,3,11.3013,100,100,100
E01026070,East Midlands,E07000137,East Lindsey,820.693054,34.8012909436263,0,0.624069,0.624069,0.978908,0,62.4069,62.4069,85.6079,25.2215245762534,0.083126,0.877171,1,1,8.3126,87.7171,100,100,12.1120684358232,1,1,3.245657,5.263027,100,100,100,100
E01026071,East Midlands,E07000137,East Lindsey,1060.995237,89.1977196988869,0,0.072936,0.357965,0.525911,0,7.2936,26.2955,26.2955,54.980886764987,0,0,0,0.65451,0,0,0,65.451,20.1194709843389,0,1,3.104606,6.523992,0,100,100,100
E01026072,East Midlands,E07000137,East Lindsey,831.893579,53.5613941449171,0,0,0,1,0,0,0,100,95.6601361391837,0,0,0,0,0,0,0,0,32.6536022078456,0,0,2,4,0,0,100,100
E01026073,East Midlands,E07000137,East Lindsey,845.130564,56.0222623726819,0,0,0,1,0,0,0,100,97.8449529727849,0,0,0,0,0,0,0,0,34.0060428998221,0,0,2,4,0,0,100,100
E01026074,East Midlands,E07000137,East Lindsey,929.64362,63.9647012464122,0,0,0,0.255202,0,0,0,25.5202,96.0031688454284,0,0,0,0,0,0,0,0,33.6270489201227,0,0,1.860898,4,0,0,100,100
E01026075,East Midlands,E07000137,East Lindsey,932.698309,57.4162137787857,0,0,0.158296,0.908296,0,0,15.8296,90.8296,77.8880310617524,0,0,0,0.108078,0,0,0,10.8078,26.0961491991749,0,0.908296,2.733624,5.114628,0,90.8296,100,100
E01026076,East Midlands,E07000137,East Lindsey,919.461324,49.3422169640379,0,0.114064,0.386489,0.915836,0,11.4064,38.6489,91.5836,51.7840898351849,0,0.114064,0.386489,0.728682,0,11.4064,38.6489,72.8682,22.3545990215158,0,1.468438,2,3.302325,0,100,100,100
E01026077,East Midlands,E07000137,East Lindsey,512.169486,16.0676267937405,0.230616,1,1,2,23.0616,100,100,100,10.5064435307409,1,1,1,1,100,100,100,100,8.48094350452154,1,1.733598,3,5.733598,100,100,100,100
E01026078,East Midlands,E07000137,East Lindsey,455.148629,15.6022314259062,0.505592,1,1,2,50.5592,100,100,100,10.7075295794218,1,1,1,1,100,100,100,100,8.43732784689841,1,1.778523,3,6,100,100,100,100
E01026079,East Midlands,E07000137,East Lindsey,770.799803,67.633706910992,0,0,0,0,0,0,0,0,67.5749929070093,0,0,0,0.122853,0,0,0,12.2853,27.4637961685974,0,1,2,3,0,100,100,100
E01026080,East Midlands,E07000137,East Lindsey,851.239941,37.2529373129558,0,0,1.600478,1.744019,0,0,85.6459,100,46.2822260425826,0,0,0.370813,1.744019,0,0,37.0813,100,18.3263344535769,0,2,2,5.488038,0,100,100,100
E01026081,East Midlands,E07000137,East Lindsey,1132.271308,9.70935577722361,1,1,1,1.114208,100,100,100,100,8.24000008821686,1,1,1,1,100,100,100,100,7.92382381642152,1,1,3,5.579136,100,100,100,100
E01026082,East Midlands,E07000137,East Lindsey,945.935294,99.9918328014524,0,0,0,0.104413,0,0,0,10.4413,99.6267515157508,0,0,0,0,0,0,0,0,34.2018558785384,0,0.104413,2.513455,5.270182,0,10.4413,100,100
E01026083,East Midlands,E07000137,East Lindsey,784.036789,13.0519914943605,1,1,1,1,100,100,100,100,10.8942131592834,1,1,1,1,100,100,100,100,8.43356532611479,1,1,3,3,100,100,100,100
E01026084,East Midlands,E07000137,East Lindsey,677.12268,12.3899186301813,1,1,1,1,100,100,100,100,10.4601814456102,1,1,1,1,100,100,100,100,8.68661015446742,1,1,3,3,100,100,100,100
E01026085,East Midlands,E07000137,East Lindsey,1051.831172,17.7757332109159,0.224588,1,1,1,22.4588,100,100,100,15.0566978786937,0.607938,1,1,1,60.7938,100,100,100,10.6998343319777,1,1,2.941916,3.095837,100,100,100,100
E01026087,East Midlands,E07000137,East Lindsey,469.403843,20.693342013999,0,1,1,1,0,100,100,100,12.1750129848332,1,1,1,1,100,100,100,100,10.1289437413732,1,1,3,5,100,100,100,100
E01026088,East Midlands,E07000137,East Lindsey,517.260634,22.5650509996581,0,1,1,1,0,100,100,100,12.2278728722132,1,1,1,1,100,100,100,100,10.006096220853,1,1.257874,3,5,100,100,100,100
E01026089,East Midlands,E07000137,East Lindsey,941.862375,11.1904486836202,0.768648,1,1,1.257297,76.8648,100,100,100,8.81491142476099,1,1,1,1,100,100,100,100,7.83407797263219,1,1,3,5.51027,100,100,100,100
E01026090,East Midlands,E07000137,East Lindsey,560.026276,17.615381119966,0,1,1,1,0,100,100,100,11.5981789644695,1,1,1,1,100,100,100,100,9.02532929336469,1,1,3,5,100,100,100,100
E01026091,East Midlands,E07000137,East Lindsey,443.948103,18.3144447946141,0,1,1,1,0,100,100,100,12.5508548866989,1,1,1,1,100,100,100,100,9.42589761456873,1,1,3,5,100,100,100,100
E01026092,East Midlands,E07000137,East Lindsey,630.284118,4.91093023255814,1,1,1,1,100,100,100,100,7.07310545917412,1,1,1,1,100,100,100,100,6.58318749074244,1,1,3,3,100,100,100,100
E01026093,East Midlands,E07000137,East Lindsey,778.94564,9.61874000036051,0.811764,1,1,1,81.1764,100,100,100,8.49131719389147,1,1,1,1,100,100,100,100,7.90801604253536,1,1,3,3,100,100,100,100
E01026094,East Midlands,E07000137,East Lindsey,703.59665,13.3816442884393,0.856729,1,1,1,85.6729,100,100,100,10.3221324519457,1,1,1,1,100,100,100,100,8.23608354688176,1,1,3,3,100,100,100,100
E01026095,East Midlands,E07000137,East Lindsey,491.804895,17.5082356000042,0,1,1,1,0,100,100,100,11.6983242203163,1,1,1,1,100,100,100,100,9.68620696140464,1,1,3,3,100,100,100,100
E01026096,East Midlands,E07000137,East Lindsey,607.883069,17.7559325067621,0,1,1,1,0,100,100,100,13.0788563554205,0.809045,1,1,1,80.9045,100,100,100,10.405380363043,1,1,3,3,100,100,100,100
E01026097,East Midlands,E07000137,East Lindsey,723.961242,12.7856056153472,0.632911,1,1,1,63.2911,100,100,100,9.5073169312007,1,1,1,1,100,100,100,100,8.8170702061183,1,1,3,3,100,100,100,100
E01026098,East Midlands,E07000137,East Lindsey,830.875349,24.3150899080237,0,0.830882,1,1,0,83.0882,100,100,31.1925548777643,0,0.709558,1,1,0,70.9558,100,100,13.576624557195,0.830882,1,2.552696,3,83.0882,100,100,100
E01026099,East Midlands,E07000137,East Lindsey,963.245198,70.3946999123776,0,0,0,0.104651,0,0,0,10.4651,62.5633892828252,0,0,0.104651,0.285412,0,0,10.4651,28.5412,23.7389653389684,0,1,1.88372,3.905919,0,100,100,100
E01026100,East Midlands,E07000137,East Lindsey,846.148793,51.0679044189124,0,0,0,1.880866,0,0,0,100,76.0110727795239,0,0,0,0,0,0,0,0,26.2361744087318,0,1,3,5,0,100,100,100
E01026101,East Midlands,E07000137,East Lindsey,516.242405,46.8710262653956,0,0,0.195266,2,0,0,19.5266,100,77.9423423667141,0,0,0,0,0,0,0,0,25.5171827443996,0,2.499013,3,5,0,100,100,100
E01026102,East Midlands,E07000137,East Lindsey,910.297257,48.6142159623615,0,0.393736,0.504474,0.855704,0,39.3736,50.4474,85.5704,59.3069577103954,0,0,0,0.504474,0,0,0,50.4474,21.5491145626973,0,1.375838,3,3.230425,0,100,100,100
E01026103,East Midlands,E07000137,East Lindsey,996.846773,56.0294561372091,0,0,0,1,0,0,0,100,91.2319052741552,0,0,0,0,0,0,0,0,36.8914699956286,0,0,2,3.598569,0,0,100,100
E01026104,East Midlands,E07000137,East Lindsey,1044.703564,65.3101517280668,0,0,0,0.221247,0,0,0,22.1247,87.0821953764795,0,0,0,0,0,0,0,0,34.8726509206972,0,0,2,3,0,0,100,100
E01026105,East Midlands,E07000137,East Lindsey,819.674824,100.298172321301,0,0,0,0.122981,0,0,0,12.2981,74.4014948222712,0,0,0,0.122981,0,0,0,12.2981,26.9910160211416,0,0.880745,3.413664,5.12795,0,75.7763,100,100
E01026106,East Midlands,E07000137,East Lindsey,489.768436,38.0123497578081,0,0,1,2,0,0,100,100,40.6130713272713,0,0,1,1,0,0,100,100,19.2474803646341,0,2,2,3.989604,0,100,100,100
E01026107,East Midlands,E07000137,East Lindsey,511.151257,45.7222078749126,0,0,0.468127,1.468127,0,0,46.8127,100,54.437408908897,0,0,0.270916,0.679282,0,0,27.0916,67.9282,24.9506869452563,0,2,2,3.023904,0,100,100,100
E01026108,East Midlands,E07000137,East Lindsey,958.154048,18.2232774088309,0,1,1,1,0,100,100,100,11.8515753465081,1,1,1,1,100,100,100,100,10.1227987557893,1,1,3,5,100,100,100,100
E01026109,East Midlands,E07000137,East Lindsey,1124.125473,60.374888777563,0,0,0,0.532608,0,0,0,53.2608,98.3212677509371,0,0,0,0,0,0,0,0,36.051129284494,0,0,2,4,0,0,100,100
E01026110,East Midlands,E07000137,East Lindsey,699.523733,28.994098476179,0,0.855895,0.855895,1.443959,0,85.5895,85.5895,100,40.5762974255269,0,0,0.855895,1,0,0,85.5895,100,15.9736185856967,0,1,2.783114,3,0,100,100,100
